metric	value
BLEU	38.7106
chrF	64.9150
COMET	0.7792
LongYAAL (CU)	4665.5722
LongAL (CU)	4866.0944
LongLAAL (CU)	4936.9412
LongAP (CU)	1.6010
LongDAL (CU)	6107.1991
LongYAAL (CA)	54515.3117
LongAL (CA)	78942.5649
LongLAAL (CA)	78945.1747
LongAP (CA)	26.0799
LongDAL (CA)	80554.8640
