LAAL	AL	AP	DAL
2380.0	2380.0	1.0	2380.0
2340.0	2340.0	2.5	2340.0
2045.722	1932.67	0.806	2513.322
1930.0	1930.0	1.0	1930.0
1712.738	481.378	0.787	2836.163
3968.066	3729.358	0.607	5935.953
1480.0	1480.0	1.0	1480.0
1830.0	1723.409	0.907	2500.0
2379.123	1995.637	0.782	3348.467
1777.692	1777.692	0.766	2500.0
3079.222	1747.447	0.753	5548.922
4033.279	656.9	0.77	8516.616
2339.286	2145.833	1.479	2542.092
3001.776	3001.776	0.651	3732.109
930.0	930.0	1.25	930.0
-405.392	-2466.667	0.57	3056.842
2776.749	2364.118	0.872	4289.612
1260.0	1260.0	1.0	1260.0
7202.724	6168.538	0.685	8976.1
2080.0	2080.0	1.0	2080.0
1340.0	1340.0	1.0	1340.0
2742.5	1248.333	0.757	4238.073
1400.0	1400.0	1.2	1400.0
2847.0	2847.0	0.836	3750.0
3097.737	2845.5	1.051	3884.349
4347.545	4347.545	0.534	5660.324
2160.465	742.4	0.832	3700.0
3129.418	-174.825	0.931	4757.516
3397.017	3397.017	0.5	3216.02
1290.0	1290.0	1.25	1290.0
1580.0	1580.0	1.5	1580.0
1997.768	1997.768	0.788	2500.0
1714.815	1212.269	0.773	2665.775
1090.0	1090.0	0.714	1090.0
4230.967	3122.348	0.881	5564.887
3000.682	2867.604	0.727	4440.973
4675.968	2409.922	0.951	6458.316
3038.385	2696.636	1.096	4518.284
1517.634	574.667	0.818	2543.496
2298.75	2298.75	0.82	2731.953
1940.588	1940.588	0.735	2539.13
1110.0	1110.0	1.0	1110.0
890.0	890.0	0.714	890.0
2290.025	-718.91	0.969	5848.936
3857.983	3857.983	0.608	5147.216
2784.897	1586.897	0.869	4074.8
2500.0	2500.0	0.857	2500.0
2047.333	2047.333	0.739	2840.96
2004.435	1852.833	0.661	3259.958
3710.0	3710.0	1.0	3710.0
284.793	284.793	0.504	2500.0
3373.297	1098.187	1.364	5473.923
1892.045	1378.458	0.746	2745.192
2202.944	-662.636	1.091	3750.0
2492.532	196.443	0.818	5053.969
2778.75	2778.75	0.753	3750.0
5710.0	5710.0	1.273	5710.0
1725.074	-936.818	1.031	4427.348
2875.0	2875.0	0.72	4601.01
3341.0	2962.727	0.989	5819.68
4354.159	2434.758	0.81	5854.928
2218.824	2020.728	0.689	3750.0
3588.049	1720.012	0.935	5285.108
2916.667	2916.667	0.955	3414.667
2545.833	2219.048	1.232	4057.75
3193.818	2615.936	1.29	3678.304
2056.869	1958.503	0.813	2705.556
2320.786	2185.32	0.76	4469.6
1630.0	1630.0	1.2	1630.0
2000.0	2000.0	0.96	2500.0
2744.622	2744.622	0.321	2788.765
3470.0	3470.0	0.6	3470.0
4110.0	4110.0	1.2	4110.0
1883.877	1706.522	0.713	2868.576
1630.0	1630.0	0.889	1630.0
3159.386	133.357	0.945	4578.356
2777.417	2777.417	0.733	4713.911
3169.0	2852.0	1.17	4200.3
4487.944	4205.9	0.92	7577.819
4167.5	4167.5	0.786	5428.75
1050.0	1050.0	1.25	1050.0
1660.0	1660.0	0.8	1660.0
2026.5	2026.5	0.753	2708.929
1750.444	1398.5	0.779	2557.778
1230.0	1230.0	1.0	1230.0
1577.877	1577.877	0.467	3245.255
2613.651	2427.056	0.769	3720.249
2951.128	2594.737	0.907	5331.179
2079.161	216.941	0.876	4541.231
2283.083	2000.238	0.732	3527.078
2192.274	931.203	0.597	4138.733
3193.759	3193.759	0.719	3980.556
103.296	103.296	0.495	3856.944
1536.845	1371.343	0.639	2632.449
