LAAL	AL	AP	DAL
26980.074	26980.074	0.417	12372.791
22124.05	22124.05	0.459	14882.663
26930.367	26930.367	0.471	17029.581
25477.952	25477.952	0.496	22673.57
26604.491	26604.491	0.44	10601.248
25272.385	25272.385	0.485	18071.565
11315.853	11315.853	0.474	10525.648
35460.098	35460.098	0.384	10000.0
15905.078	15905.078	0.48	15290.117
38719.967	38719.967	0.41	13128.094
50195.937	50195.937	0.425	22430.963
45584.364	45584.364	0.442	20215.893
25868.126	25868.126	0.409	10024.957
21368.456	21368.456	0.441	10548.79
8748.82	8748.82	0.481	13118.908
23616.828	23616.828	0.471	14630.465
27951.247	27951.247	0.439	16299.386
26676.247	26676.247	0.452	13458.484
31206.619	31206.619	0.417	14701.112
27533.158	27533.158	0.425	15165.082
16980.619	16980.619	0.494	15497.672
