LAAL	AL	AP	DAL
17511.024	17511.024	0.436	17278.483
28246.599	28246.599	0.449	16003.167
77170.187	77170.187	0.392	41461.57
7071.683	7071.683	0.519	15867.581
50234.082	50234.082	0.383	18704.536
15157.154	15157.154	0.487	18104.413
20676.201	20676.201	0.473	20158.787
42550.593	42550.593	0.441	29776.559
4172.907	2555.698	0.517	19266.28
10511.348	10511.348	0.511	19838.122
54286.827	54286.827	0.389	27912.228
63874.703	63874.703	0.373	24768.126
54775.672	54775.672	0.361	21502.637
32386.53	32386.53	0.47	27745.74
964.654	964.654	0.454	11000.0
73462.25	73462.25	0.447	52388.441
18639.173	18639.173	0.5	24185.293
20626.602	20626.602	0.451	27659.871
31748.084	31748.084	0.393	15096.537
11366.991	9733.834	0.543	25684.224
8509.173	8509.173	0.495	19727.247
