metric	value
BLEU	32.0456
chrF	60.1484
COMET	0.6713
LongYAAL (CU)	2645.2266
LongAL (CU)	2735.6772
LongLAAL (CU)	2874.2059
LongAP (CU)	1.2817
LongDAL (CU)	3996.9264
LongYAAL (CA)	42892.7601
LongAL (CA)	57231.0768
LongLAAL (CA)	57235.8686
LongAP (CA)	18.8877
LongDAL (CA)	58897.0082
