LAAL	AL	AP	DAL
-2574.927	-2574.927	0.487	10603.104
9427.869	9427.869	0.497	11151.74
3471.053	-3583.539	0.529	8365.909
4804.515	1024.347	0.529	9489.356
3626.503	3626.503	0.499	8951.823
6033.955	4463.365	0.521	15972.447
324.229	-5727.453	0.517	7787.431
2368.137	643.355	0.511	9193.131
2538.276	2538.276	0.499	8839.447
4449.586	-7614.541	0.546	9410.289
6203.639	6203.639	0.502	11457.557
25028.815	25028.815	0.48	18915.114
22176.957	22176.957	0.478	19114.816
1495.866	-5304.045	0.527	7250.0
-6117.427	-13804.638	0.503	5206.893
3349.395	-5002.499	0.534	11026.612
8650.343	8650.343	0.484	9252.619
9786.916	9786.916	0.5	19006.324
-4744.956	-4744.956	0.468	8500.0
7513.677	5517.59	0.531	15209.694
4584.102	80.285	0.53	11123.777
