LAAL	AL	AP	DAL
9288.424	9288.424	0.453	14282.534
19083.815	19083.815	0.471	16043.468
62015.872	62015.872	0.422	35339.882
7028.609	7028.609	0.522	16175.908
26034.662	26034.662	0.394	17581.89
14849.019	14849.019	0.501	20821.029
-983.711	-6309.164	0.511	11207.568
25767.586	25767.586	0.473	24206.373
2709.179	2016.094	0.51	15278.844
8541.385	5939.485	0.531	19659.871
16658.419	16658.419	0.505	20921.65
50899.743	50899.743	0.429	26428.941
58385.853	58385.853	0.383	31181.687
4720.332	4720.332	0.489	16781.288
-4546.782	-4546.782	0.485	11000.0
11422.138	11422.138	0.49	19678.538
10525.504	10525.504	0.495	14863.54
16743.008	16743.008	0.497	32175.225
21760.873	21760.873	0.44	14216.754
10443.798	8266.246	0.541	21450.809
7550.155	2295.67	0.543	19581.559
