LAAL	AL	AP	DAL
3192.247	3192.247	0.472	4825.762
9242.78	9242.78	0.498	13196.399
3288.343	-4816.59	0.532	9084.415
7322.393	7322.393	0.523	16355.9
9529.006	9529.006	0.487	9693.001
4844.207	4844.207	0.512	22309.072
1687.559	1687.559	0.476	6675.818
5089.515	5089.515	0.486	9310.569
1998.791	1998.791	0.505	8212.019
6251.331	148.241	0.534	14116.269
8102.594	8102.594	0.511	12477.007
3358.94	3181.395	0.508	8351.842
1377.396	296.118	0.507	7579.178
10077.752	10077.752	0.486	14531.77
6089.319	-13231.414	0.572	14560.849
6314.505	2246.617	0.53	11481.191
10969.287	10969.287	0.493	13441.562
6220.105	6220.105	0.509	12440.905
-585.781	-585.781	0.482	4325.622
8261.49	7538.239	0.529	15738.41
8664.549	8664.549	0.5	13568.5
