metric	value
BLEU	27.1315
chrF	54.6804
LongYAAL (CU)	3006.4276
LongAL (CU)	2748.5142
LongLAAL (CU)	2904.7158
LongAP (CU)	1.1773
LongDAL (CU)	4012.1923
LongYAAL (CA)	51302.6546
LongAL (CA)	71592.4041
LongLAAL (CA)	71597.1330
LongAP (CA)	23.7057
LongDAL (CA)	73512.5382
