LAAL	AL	AP	DAL
4719.51	4719.51	0.483	15082.838
13619.466	13619.466	0.497	14657.047
3428.226	3000.694	0.51	13061.006
7117.036	3553.913	0.536	13016.557
4838.98	4838.98	0.464	12961.199
8801.868	8801.868	0.483	14436.609
1268.91	-4540.695	0.519	8870.154
1237.622	-487.159	0.508	10296.998
1891.692	1891.692	0.504	14138.835
4615.238	-3190.743	0.534	11152.744
5595.297	5595.297	0.508	13724.695
28791.055	28791.055	0.471	22977.452
49211.385	49211.385	0.361	19831.977
1179.145	-881.349	0.51	10499.441
-4150.79	-7126.278	0.496	7192.319
9045.434	5660.029	0.536	21560.294
7708.063	7708.063	0.495	9825.68
19565.687	19565.687	0.477	21972.198
643.162	643.162	0.481	8500.0
7342.834	4620.883	0.533	14177.093
6761.585	3759.076	0.532	18145.167
