metric	value
BLEU	34.3168
chrF	60.4574
LongYAAL (CU)	2422.4232
LongAL (CU)	2348.2400
LongLAAL (CU)	2509.9105
LongAP (CU)	1.0816
LongDAL (CU)	3468.3832
LongYAAL (CA)	57316.8493
LongAL (CA)	85403.2147
LongLAAL (CA)	85406.9250
LongAP (CA)	26.5128
LongDAL (CA)	87446.6234
