LAAL	AL	AP	DAL
1510.833	1510.833	0.912	1671.975
1817.273	1445.0	2.651	1988.43
1120.312	1120.312	0.29	1500.0
1930.0	1930.0	1.0	1930.0
703.413	224.942	0.601	2004.444
2972.009	2972.009	0.489	3565.979
1480.0	1480.0	1.0	1480.0
695.455	695.455	0.628	1515.62
1846.052	1592.703	0.708	2564.943
1652.692	1652.692	0.742	2635.764
-308.146	-785.848	0.526	2242.708
2277.23	-2953.045	0.759	4261.57
1589.286	1395.833	1.376	2327.806
2176.75	2176.75	0.421	3750.0
930.0	930.0	1.25	930.0
-1723.16	-3300.7	0.491	2071.706
1643.542	1439.375	0.696	2632.932
1260.0	1260.0	1.0	1260.0
5616.167	3808.294	0.68	7474.286
1346.667	1277.333	1.088	1500.0
1340.0	1340.0	1.0	1340.0
2578.713	188.047	0.807	4251.294
1400.0	1400.0	1.2	1400.0
2033.778	2033.778	0.597	2544.861
1335.357	1335.357	0.561	2472.245
4289.671	4289.671	0.544	5525.257
1932.581	160.0	0.824	3267.076
592.528	386.19	0.545	2417.608
3776.164	3776.164	0.377	3224.537
1290.0	1290.0	1.25	1290.0
1263.333	1131.667	1.475	1500.0
1664.062	1664.062	0.678	1961.538
1281.399	1281.399	0.248	2250.0
1090.0	1090.0	0.714	1090.0
3555.274	3555.274	0.588	4143.496
1977.227	1673.973	0.677	3707.907
4425.968	2159.922	0.936	5864.283
1694.286	1112.5	0.951	2146.684
806.118	806.118	0.323	1500.0
1583.571	1583.571	0.3	1500.0
1691.0	1691.0	0.668	3000.0
1110.0	1110.0	1.0	1110.0
890.0	890.0	0.714	890.0
947.102	-908.257	0.704	2585.522
2761.223	2761.223	0.543	3854.576
1366.533	-402.714	0.788	2548.598
1435.714	1435.714	0.9	1836.735
1629.231	1524.0	0.713	2225.148
1343.819	1011.778	0.631	2334.473
1712.778	1712.778	0.826	2250.0
-335.568	-560.909	0.483	1500.0
880.275	172.632	0.704	2079.584
750.572	750.572	0.474	2250.0
1093.03	-2451.212	1.035	1955.214
1709.233	-1104.131	0.798	3511.82
1770.538	1770.538	0.644	2307.5
1147.81	248.052	0.898	1844.711
72.286	-3832.857	0.746	1812.22
2282.169	2130.208	0.704	4338.235
2486.806	2251.768	0.841	3476.563
3785.124	3785.124	0.486	4805.503
2543.463	2543.463	0.479	3878.438
1743.362	1308.156	0.634	3246.93
1745.455	1745.455	0.827	2250.0
1991.729	1246.429	1.026	2702.909
1931.407	1177.647	1.015	2509.716
1560.222	1422.51	0.748	2252.901
2143.345	2143.345	0.207	1670.625
1271.667	1217.333	1.168	1500.0
1143.333	1143.333	0.797	1500.0
