metric	value
BLEU	39.8356
chrF	65.3919
COMET	0.7849
LongYAAL (CU)	5731.6271
LongAL (CU)	6333.8029
LongLAAL (CU)	6385.1821
LongAP (CU)	1.7230
LongDAL (CU)	7559.0681
LongYAAL (CA)	58747.4358
LongAL (CA)	87568.8370
LongLAAL (CA)	87570.2984
LongAP (CA)	27.9912
LongDAL (CA)	89294.8941
