LAAL	AL	AP	DAL
2554.406	2554.406	0.476	5536.009
17445.542	17445.542	0.49	16079.59
2786.018	-409.233	0.516	7747.123
7046.195	7046.195	0.52	12604.941
7055.671	7055.671	0.495	9943.718
3170.49	3170.49	0.505	8282.571
3178.599	-1618.115	0.522	8547.234
4817.028	4817.028	0.485	6162.542
4837.517	4837.517	0.487	5104.237
4923.134	3505.783	0.517	11420.0
3385.459	3385.459	0.508	9038.201
6421.405	6421.405	0.508	16128.134
2156.869	716.647	0.51	7767.557
3592.167	3592.167	0.483	7132.744
-2960.997	-12619.485	0.518	5190.464
6496.656	1756.894	0.533	13531.242
2657.16	2657.16	0.502	9308.729
7510.751	7510.751	0.508	11149.881
-1103.067	-1103.067	0.472	4044.807
8019.291	8019.291	0.517	18989.144
3949.572	2637.624	0.517	21529.017
