metric	value
BLEU	37.7852
chrF	64.6213
LongYAAL (CU)	3791.2066
LongAL (CU)	3759.6427
LongLAAL (CU)	3850.1879
LongAP (CU)	1.3739
LongDAL (CU)	5076.2611
LongYAAL (CA)	64451.6126
LongAL (CA)	102221.7384
LongLAAL (CA)	102225.2075
LongAP (CA)	37.7181
LongDAL (CA)	104230.2941
