LAAL	AL	AP	DAL
-419.084	-419.084	0.478	6815.791
10560.678	10560.678	0.499	13850.84
3634.006	-3396.231	0.53	8271.473
8112.598	5666.707	0.536	19808.789
7424.805	7424.805	0.493	9415.811
5204.102	3637.007	0.519	17677.4
3380.012	-3070.614	0.527	11827.15
4964.241	4964.241	0.491	8778.563
1290.236	1290.236	0.5	6999.923
3585.641	2641.987	0.512	9103.668
6441.394	6441.394	0.517	13432.789
5435.48	5435.48	0.51	11944.078
2542.297	-1058.486	0.517	11149.277
14956.374	14956.374	0.485	18453.536
-2091.659	-12493.271	0.522	8604.038
5631.224	-11.501	0.533	11897.454
8644.247	8644.247	0.495	14800.508
8588.417	8588.417	0.509	14112.056
754.899	754.899	0.477	6880.69
8377.086	5122.205	0.538	15108.232
8708.477	8708.477	0.5	12073.129
