LAAL	AL	AP	DAL
-2989.054	-2989.054	0.488	5036.372
11176.02	11176.02	0.492	12996.887
14075.18	-30484.261	0.673	40078.14
12431.621	12431.621	0.458	8969.149
7288.777	7288.777	0.486	8976.7
2742.816	2742.816	0.352	7124.137
2657.157	-9324.137	0.541	7525.702
5768.208	5768.208	0.481	7737.227
1326.523	865.749	0.505	6259.95
11830.104	11830.104	0.496	12206.043
4831.111	2995.477	0.519	11236.708
6748.715	5150.785	0.52	12151.68
563.828	-1956.641	0.508	6929.169
-203.017	-3677.538	0.51	7570.802
-2774.382	-15900.966	0.528	4682.446
8801.403	1126.839	0.549	16776.945
59005.537	59005.537	0.421	46511.141
7403.081	7403.081	0.506	11958.075
-816.84	-816.84	0.476	3403.515
7661.908	4949.552	0.534	14110.606
4273.128	720.725	0.526	13679.082
