metric	value
BLEU	38.9282
chrF	65.2058
COMET	0.7818
LongYAAL (CU)	3736.8405
LongAL (CU)	3718.9953
LongLAAL (CU)	3814.5614
LongAP (CU)	1.3960
LongDAL (CU)	5041.8945
LongYAAL (CA)	76906.0418
LongAL (CA)	135929.6275
LongLAAL (CA)	135932.4792
LongAP (CA)	53.0094
LongDAL (CA)	138531.1958
