metric	value
BLEU	37.0686
chrF	64.2967
LongYAAL (CU)	3095.2599
LongAL (CU)	2967.5467
LongLAAL (CU)	3083.0150
LongAP (CU)	1.2560
LongDAL (CU)	4231.7417
LongYAAL (CA)	77878.5834
LongAL (CA)	142307.1375
LongLAAL (CA)	142310.4687
LongAP (CA)	54.2407
LongDAL (CA)	144934.7567
