LAAL	AL	AP	DAL
2380.0	2380.0	0.778	2380.0
2340.0	2340.0	1.0	2340.0
4894.118	4882.812	1.041	5683.045
1930.0	1930.0	1.0	1930.0
1928.125	1706.48	0.671	3268.175
6223.604	6223.604	0.539	8643.695
1480.0	1480.0	1.4	1480.0
4020.0	4020.0	1.091	4020.0
4657.672	4657.672	0.695	5076.059
3950.0	3950.0	0.923	3950.0
5773.171	5367.125	0.802	9453.628
5906.749	1374.312	0.97	9448.608
2833.333	2722.222	1.427	3000.0
4160.083	4160.083	0.812	5613.989
930.0	930.0	1.0	930.0
1514.996	-2882.128	0.742	6000.0
5701.25	5701.25	0.89	6743.867
1260.0	1260.0	1.0	1260.0
8173.775	7410.701	0.697	10463.267
2080.0	2080.0	0.8	2080.0
1340.0	1340.0	0.833	1340.0
5465.982	5465.982	0.78	8720.751
1400.0	1400.0	0.6	1400.0
5140.0	5140.0	0.933	5140.0
3460.714	3460.714	0.786	4000.0
5754.598	5754.598	0.605	7547.702
7635.556	7635.556	0.915	8966.25
6474.539	5151.134	0.953	9093.963
5412.819	5412.819	0.725	7268.574
1290.0	1290.0	1.0	1290.0
1580.0	1580.0	1.0	1580.0
2643.75	2643.75	0.731	3000.0
5943.681	5863.393	1.033	6605.325
1090.0	1090.0	0.571	1090.0
6480.717	2357.214	1.645	7770.981
4075.938	4075.938	0.77	5404.746
7208.0	5544.341	1.22	9838.875
4690.833	4649.697	1.077	5000.0
4488.889	4277.333	0.971	6000.0
4110.0	4110.0	1.0	4110.0
5520.0	5520.0	0.958	5520.0
1110.0	1110.0	0.833	1110.0
890.0	890.0	0.571	890.0
4023.664	4023.664	0.678	5166.667
8058.245	8058.245	0.686	9222.996
5281.016	5148.233	0.867	7000.0
2500.0	2500.0	0.571	2500.0
4096.923	3424.0	1.942	5681.657
4063.111	3885.143	0.816	7000.0
3710.0	3710.0	1.111	3710.0
2667.448	2667.448	0.592	4889.031
6382.1	6219.342	1.274	7384.608
3187.5	2967.391	0.913	5552.885
4568.414	2871.742	1.169	6480.749
3625.0	2767.137	0.803	5092.708
4244.5	4244.5	0.76	5000.0
4094.167	4050.909	1.036	4631.944
6242.107	5105.5	0.995	7985.242
5230.769	5230.769	0.683	6082.305
4102.083	3950.0	0.977	5275.694
5795.326	4181.43	0.85	7762.287
5271.373	4726.611	0.976	6911.111
6358.701	5446.049	0.961	8721.799
3270.0	3270.0	0.98	3681.333
4626.984	4046.032	1.467	5379.138
5810.513	5685.49	1.527	6000.0
2500.556	2451.373	0.902	4070.617
4401.875	4119.655	0.971	5982.51
1630.0	1630.0	1.0	1630.0
2780.0	2780.0	0.7	2780.0
8660.0	8660.0	1.353	8660.0
2925.333	2925.333	0.982	3006.356
4110.0	4110.0	1.2	4110.0
3747.492	3747.492	0.82	4689.225
1630.0	1630.0	0.778	1630.0
6108.29	5133.538	0.943	7303.809
10420.0	10420.0	1.2	10420.0
4422.667	4422.667	0.877	5000.0
6963.933	6963.933	0.919	8000.0
4410.952	4410.952	0.943	5464.49
1050.0	1050.0	1.0	1050.0
1660.0	1660.0	0.8	1660.0
4666.667	4594.167	1.043	5487.733
4743.0	4743.0	0.931	5322.5
1230.0	1230.0	1.0	1230.0
5246.495	4461.548	1.062	7632.016
4733.853	4624.091	0.913	5896.553
7900.0	7900.0	1.158	7900.0
4246.632	4246.632	0.636	5175.858
4050.855	3711.679	0.892	5215.879
4286.6	4103.231	0.618	9103.39
5345.668	5345.668	0.878	7000.0
5100.536	3583.286	0.852	9000.0
9223.704	9223.704	0.987	9994.513
900.0	900.0	1.0	900.0
6496.4	5052.844	1.111	9005.829
1130.0	1130.0	0.6	1130.0
6302.041	6137.158	0.774	10503.89
8281.279	8281.279	0.773	10000.0
4207.727	4098.198	0.741	6527.397
10070.0	10070.0	1.25	10070.0
10780.0	10780.0	0.833	10780.0
5620.833	5604.545	1.061	8023.264
6809.982	6227.921	0.739	11419.847
4864.885	2339.085	0.946	7045.447
5886.759	-3232.389	1.032	9360.765
1490.0	1490.0	0.667	1490.0
1530.0	1530.0	1.0	1530.0
3994.709	3534.161	0.933	6000.0
2400.0	2400.0	1.25	2400.0
4253.056	4220.667	1.168	5366.883
4949.792	4949.792	0.782	6808.294
9239.464	9239.464	0.818	9385.104
4130.392	3262.614	0.879	6224.214
5126.45	5014.613	0.859	6503.774
5511.766	4503.167	1.125	8026.939
6045.537	6045.537	0.721	8491.478
5227.0	5227.0	0.939	6847.9
9670.0	9670.0	1.381	9670.0
8240.0	8240.0	1.312	8240.0
10644.0	10602.5	1.245	11251.2
7685.599	6066.501	0.822	15516.811
6689.229	3314.604	0.881	9253.077
4325.614	4182.051	1.412	5152.327
2579.662	1788.674	0.701	4302.222
4773.389	4198.44	0.908	8000.0
7104.737	7104.737	0.785	7095.822
6612.5	6585.25	1.038	7000.0
1140.0	1140.0	0.75	1140.0
3270.0	3270.0	1.0	3270.0
3930.891	3812.821	0.983	6000.0
8470.0	8470.0	0.905	8470.0
5950.545	5950.545	0.594	7262.294
7316.012	6078.121	0.937	13000.0
4173.099	4173.099	0.901	5000.0
3990.0	3990.0	0.9	3990.0
7024.0	6832.0	1.28	7332.308
6108.571	6108.571	0.725	7000.0
8603.89	7882.937	0.859	12703.17
3774.342	2654.796	0.853	5301.242
8157.083	8157.083	0.824	8146.7
1240.0	1240.0	1.0	1240.0
1530.0	1530.0	1.2	1530.0
4041.158	3910.5	0.858	5048.089
5798.077	5798.077	0.866	7401.89
3889.368	3397.368	0.909	4850.244
6860.0	6860.0	0.793	6860.0
5045.097	3107.174	0.973	6983.98
1400.0	1400.0	1.0	1400.0
1280.0	1280.0	1.0	1280.0
4558.214	4558.214	0.98	5036.684
1160.0	1160.0	0.8	1160.0
4558.311	4254.085	0.688	6462.147
4510.0	4510.0	1.385	4510.0
6919.077	6672.364	1.092	8717.239
8146.725	6225.728	0.971	14671.853
1010.0	1010.0	1.0	1010.0
9734.446	9127.126	1.031	12890.369
4430.0	4430.0	0.818	4430.0
6061.638	3577.101	0.896	10881.617
6629.057	4735.529	0.968	12387.68
1570.0	1570.0	1.0	1570.0
1750.0	1750.0	1.0	1750.0
10260.321	9905.238	1.169	12233.595
8431.743	8100.278	0.879	12959.466
5323.755	4621.528	1.025	6520.809
3992.296	3992.296	0.695	5932.343
3595.341	3595.341	0.743	6000.0
3818.139	2163.996	0.679	6930.518
4240.889	4240.889	0.813	5202.105
4336.875	4243.168	0.841	5322.622
6106.383	5288.926	0.789	11000.0
4828.48	4701.591	0.833	6474.689
3650.0	3650.0	1.182	3650.0
10068.203	10068.203	0.863	11000.0
990.0	990.0	1.0	990.0
4727.5	3676.458	1.139	6895.903
7441.816	7441.816	0.67	13806.229
4151.2	3819.2	0.806	5294.375
6876.389	6864.706	1.058	7000.0
4348.786	4348.786	0.808	5961.045
6968.938	6632.76	0.753	9109.902
4430.641	2879.927	0.93	8000.0
7170.062	7170.062	1.0	7170.062
6051.103	5668.103	0.811	10217.683
5306.15	-3405.751	0.912	9684.195
3103.929	3103.929	0.66	4360.355
7655.047	-8773.747	1.589	12212.616
5271.768	2599.204	1.18	7255.602
2311.613	2311.613	0.635	4021.353
4717.167	4632.549	1.096	8067.9
6034.073	5763.098	0.754	8981.304
6937.273	6937.273	0.711	10355.399
7106.025	6413.534	0.777	11040.104
5957.241	5957.241	0.728	8626.568
5490.229	5353.388	0.844	8566.22
4076.573	1051.744	0.807	9854.318
6787.333	5316.75	0.836	11513.607
2440.0	2440.0	0.559	3000.0
3718.344	3538.758	1.482	4000.0
4067.692	4067.692	0.761	4028.8
9034.124	7048.636	1.167	13862.826
11661.036	11661.036	0.779	15985.752
5880.0	5880.0	2.333	5880.0
1290.0	1290.0	0.833	1290.0
1490.0	1490.0	1.0	1490.0
10721.429	10672.0	1.019	11739.592
4403.798	2792.161	0.625	9238.6
4852.03	4597.167	1.043	7000.0
8427.21	8427.21	0.566	8901.061
6348.708	6080.26	0.685	11473.926
8656.02	8656.02	0.658	10343.035
1170.0	1170.0	1.0	1170.0
1370.0	1370.0	0.778	1370.0
