metric	value
BLEU	37.5238
chrF	64.2950
COMET	0.7645
LongYAAL (CU)	3202.3101
LongAL (CU)	3046.7333
LongLAAL (CU)	3165.0201
LongAP (CU)	1.2592
LongDAL (CU)	4377.9641
LongYAAL (CA)	104354.0095
LongAL (CA)	254590.8747
LongLAAL (CA)	254593.3026
LongAP (CA)	89.4541
LongDAL (CA)	259289.3155
