metric	value
BLEU	36.8196
chrF	64.0027
COMET	0.7633
LongYAAL (CU)	3129.4821
LongAL (CU)	2993.2396
LongLAAL (CU)	3108.1000
LongAP (CU)	1.2527
LongDAL (CU)	4258.5557
LongYAAL (CA)	77160.3664
LongAL (CA)	139744.2162
LongLAAL (CA)	139747.5363
LongAP (CA)	53.0445
LongDAL (CA)	142339.2502
