LAAL	AL	AP	DAL
778.299	778.299	0.475	4477.366
8517.007	8517.007	0.499	13163.994
2783.94	-7442.661	0.536	7574.494
7257.152	5700.718	0.53	16323.594
8740.63	8740.63	0.488	9473.204
4483.094	4091.328	0.513	22391.544
2613.691	-8140.931	0.537	8521.268
4951.584	4951.584	0.484	8833.342
1860.219	1638.176	0.506	7434.754
6273.399	-534.127	0.536	14709.522
15104.161	15104.161	0.475	14287.704
3900.9	2480.52	0.513	9507.027
751.373	-1048.923	0.507	6766.378
8873.142	8873.142	0.487	14264.962
-1981.415	-12878.455	0.524	8047.91
5678.718	-189.756	0.534	11551.909
6396.776	6396.776	0.504	13121.483
5554.048	5554.048	0.509	12162.908
-1066.426	-1066.426	0.48	4325.622
7744.685	4308.959	0.537	15242.336
8495.499	8495.499	0.501	13720.273
