metric	value
BLEU	29.1177
chrF	55.3852
COMET	0.6240
LongYAAL (CU)	4065.1605
LongAL (CU)	3921.6988
LongLAAL (CU)	3999.9159
LongAP (CU)	1.4588
LongDAL (CU)	5477.6016
LongYAAL (CA)	35610.5412
LongAL (CA)	43573.9675
LongLAAL (CA)	43577.2647
LongAP (CA)	13.9044
LongDAL (CA)	45180.4368
