LAAL	AL	AP	DAL
-2419.156	-4541.525	0.498	5849.002
10131.034	10131.034	0.491	10134.3
3409.82	-9161.078	0.545	14360.862
11818.366	11818.366	0.456	8221.051
6810.537	6810.537	0.49	8716.181
4172.55	4172.55	0.351	6562.919
427.652	-11507.678	0.534	5628.951
5010.485	5010.485	0.483	8384.724
1761.74	-542.234	0.512	7589.661
21335.39	21335.39	0.455	13091.064
3470.914	1268.134	0.516	12963.088
7281.887	7281.887	0.513	11480.253
1557.134	-963.335	0.511	7962.072
629.068	-2436.608	0.512	11623.681
-2839.69	-16709.497	0.53	4266.149
7661.017	2018.292	0.539	13971.341
59304.447	59304.447	0.418	46200.772
6559.939	6559.939	0.51	11016.844
587.217	587.217	0.475	3089.946
7571.752	6848.502	0.527	13992.013
4438.701	699.307	0.527	14159.809
