LAAL	AL	AP	DAL
34169.246	34169.246	0.424	21028.717
28499.793	28499.793	0.451	18409.031
96073.109	96073.109	0.393	52083.652
10482.469	10482.469	0.519	19940.246
39776.751	39776.751	0.357	16410.065
28475.934	28475.934	0.449	22487.726
33202.588	33202.588	0.425	21711.747
67847.259	67847.259	0.295	26030.824
6235.055	6235.055	0.51	19729.331
38126.07	38126.07	0.498	35119.232
37855.967	37855.967	0.469	28643.405
46212.315	46212.315	0.444	29359.924
57308.149	57308.149	0.364	23566.899
47700.544	47700.544	0.444	36469.718
9037.244	9037.244	0.426	15159.05
78654.754	78654.754	0.471	60010.567
19248.831	19248.831	0.503	27439.5
10188.283	-11768.621	0.596	38892.738
48882.631	48882.631	0.363	23260.863
28373.507	28373.507	0.505	31233.131
6577.1	6577.1	0.517	21015.683
