LAAL	AL	AP	DAL
2380.0	2380.0	1.0	2380.0
2340.0	2340.0	2.5	2340.0
1977.54	1864.489	0.798	2513.322
1930.0	1930.0	1.0	1930.0
1418.014	692.632	0.693	2620.558
1904.816	1662.378	0.553	4311.8
1480.0	1480.0	1.0	1480.0
1050.897	741.667	0.838	2500.0
2429.491	2429.491	0.573	3673.504
1777.692	1777.692	0.766	2500.0
2662.627	1897.078	0.694	5509.985
4492.013	434.299	0.802	7577.208
2339.286	2145.833	1.479	2542.092
3166.078	3166.078	0.575	3414.737
930.0	930.0	1.25	930.0
88.763	-4414.316	0.657	2884.401
2835.667	1949.0	0.992	4454.444
1260.0	1260.0	1.0	1260.0
4937.094	1421.055	0.729	6598.769
2080.0	2080.0	1.0	2080.0
1340.0	1340.0	1.0	1340.0
2794.524	2794.524	0.574	3367.778
1400.0	1400.0	1.2	1400.0
2847.0	2847.0	0.836	3750.0
3097.737	2845.5	1.051	3884.349
3000.263	3000.263	0.547	4212.806
2523.537	928.214	0.867	3755.671
2998.333	1793.298	0.865	6303.182
3100.588	3100.588	0.596	5108.267
1290.0	1290.0	1.25	1290.0
1580.0	1580.0	1.5	1580.0
1997.768	1997.768	0.788	2500.0
1535.333	1437.917	0.707	3016.56
1090.0	1090.0	0.714	1090.0
2855.2	344.714	0.949	4955.856
3776.332	3776.332	0.688	5575.178
5116.078	3171.214	0.942	7678.014
3038.385	2696.636	1.096	4518.284
1710.0	1262.0	0.84	3162.667
2298.75	2298.75	0.82	2731.953
1940.588	1940.588	0.735	2539.13
1110.0	1110.0	1.0	1110.0
890.0	890.0	0.714	890.0
2879.151	2879.151	0.671	5647.253
3808.945	3808.945	0.683	5224.733
3157.971	2444.876	0.847	4407.493
2500.0	2500.0	0.857	2500.0
2031.377	1931.684	0.758	2697.041
2250.611	2072.643	0.678	3802.362
3710.0	3710.0	1.0	3710.0
401.243	32.313	0.548	2800.459
2928.38	1387.873	1.127	5020.37
1226.667	473.043	0.707	2481.481
1952.486	-737.889	1.004	3750.0
2524.322	941.3	0.771	4939.578
2218.409	2218.409	0.599	3250.0
1669.683	1224.747	0.928	3000.0
2157.553	-2602.973	1.031	3662.029
4259.259	4259.259	0.669	6408.163
2558.842	2200.478	0.886	4619.68
4406.486	2918.93	0.779	6817.432
2264.444	1685.635	0.759	3750.0
2303.367	1453.001	0.711	3851.561
2916.667	2916.667	0.955	3414.667
2545.833	2219.048	1.232	4057.75
3193.818	2615.936	1.29	3678.304
1510.222	1372.51	0.741	2500.0
3044.284	2557.316	0.912	4660.934
1630.0	1630.0	1.2	1630.0
2000.0	2000.0	0.96	2500.0
2142.889	1944.784	0.738	3226.173
3470.0	3470.0	0.6	3470.0
1488.214	1282.714	0.928	2250.0
2302.174	2302.174	0.778	4656.805
1630.0	1630.0	0.889	1630.0
2010.799	-2062.137	0.952	3136.978
1719.221	282.524	0.963	3222.975
2565.253	2213.03	0.967	3359.383
3130.695	3130.695	0.671	4286.654
2045.065	2045.065	0.593	2409.583
1050.0	1050.0	1.25	1050.0
1660.0	1660.0	0.8	1660.0
2076.5	2076.5	0.687	2962.426
1667.111	1315.167	0.768	2500.0
1230.0	1230.0	1.0	1230.0
1507.885	235.563	0.863	3030.921
2986.518	2821.875	0.795	3720.249
2593.797	2593.797	0.652	3750.0
1442.763	1246.0	0.615	4047.669
2679.679	2372.239	0.771	3574.9
2193.625	2193.625	0.541	4422.727
3837.368	3837.368	0.719	4405.882
1565.948	954.833	0.597	3082.666
1333.929	1333.929	0.563	2584.763
