metric	value
BLEU	36.5732
chrF	61.6552
LongYAAL (CU)	3489.8773
LongAL (CU)	3759.2824
LongLAAL (CU)	3850.7175
LongAP (CU)	1.2176
LongDAL (CU)	5026.4229
LongYAAL (CA)	42334.9781
LongAL (CA)	55864.4145
LongLAAL (CA)	55866.7291
LongAP (CA)	16.6953
LongDAL (CA)	57577.7410
