metric	value
BLEU	27.1096
chrF	57.0238
COMET	0.6132
LongYAAL (CU)	1696.5371
LongAL (CU)	1426.7065
LongLAAL (CU)	1735.3368
LongAP (CU)	0.9725
LongDAL (CU)	2521.3917
LongYAAL (CA)	71074.2918
LongAL (CA)	119725.8342
LongLAAL (CA)	119729.8770
LongAP (CA)	41.7077
LongDAL (CA)	122337.3629
