metric	value
BLEU	27.7039
chrF	54.8703
COMET	0.6174
LongYAAL (CU)	3670.6428
LongAL (CU)	3448.9877
LongLAAL (CU)	3546.2680
LongAP (CU)	1.5332
LongDAL (CU)	4903.2071
LongYAAL (CA)	44735.1114
LongAL (CA)	59737.7397
LongLAAL (CA)	59740.5342
LongAP (CA)	20.9743
LongDAL (CA)	61591.9269
