metric	value
BLEU	36.1955
chrF	61.8216
COMET	0.7146
LongYAAL (CU)	3169.4145
LongAL (CU)	3325.1030
LongLAAL (CU)	3426.7113
LongAP (CU)	1.4102
LongDAL (CU)	4558.0595
LongYAAL (CA)	45990.6161
LongAL (CA)	62536.0603
LongLAAL (CA)	62539.5420
LongAP (CA)	20.8581
LongDAL (CA)	64338.1765
