LAAL	AL	AP	DAL
2380.0	2380.0	0.778	2380.0
2340.0	2340.0	1.0	2340.0
3214.062	3214.062	0.88	3991.992
1930.0	1930.0	1.0	1930.0
1634.375	1412.73	0.649	3300.0
6408.05	6408.05	0.615	9299.442
1480.0	1480.0	1.4	1480.0
4020.0	4020.0	1.091	4020.0
4243.645	4243.645	0.703	4900.0
3950.0	3950.0	0.923	3950.0
4618.886	4212.839	0.756	7986.532
5247.388	-8005.08	1.247	12922.03
2500.0	2388.889	1.393	2711.538
3679.375	3679.375	0.658	4132.1
930.0	930.0	1.0	930.0
1653.619	-3139.675	0.729	4552.117
4113.75	4113.75	0.8	4704.805
1260.0	1260.0	1.0	1260.0
7712.504	6928.525	0.688	10068.991
2080.0	2080.0	0.8	2080.0
1340.0	1340.0	0.833	1340.0
5819.383	5253.172	0.831	7592.929
1400.0	1400.0	0.6	1400.0
5140.0	5140.0	1.0	5140.0
2803.571	2803.571	0.735	3300.0
6246.219	5748.918	0.712	10789.735
4691.333	4691.333	0.808	6681.25
5746.125	4881.643	0.869	7631.819
5749.748	5749.748	0.725	7300.0
1290.0	1290.0	1.0	1290.0
1580.0	1580.0	1.0	1580.0
2773.438	2773.438	0.736	2939.236
4886.538	4806.25	0.996	6095.858
1090.0	1090.0	0.571	1090.0
5366.759	1855.59	1.264	7194.843
3782.3	3782.3	0.754	5024.609
7551.543	5013.759	1.194	9318.745
4292.045	4292.045	0.973	4900.0
3647.368	3323.368	0.934	5128.571
4110.0	4110.0	1.0	4110.0
5520.0	5520.0	0.958	5520.0
1110.0	1110.0	1.0	1110.0
890.0	890.0	0.571	890.0
4035.448	4035.448	0.772	7773.98
7167.769	7167.769	0.631	8173.016
4062.438	3554.357	0.883	4769.629
2500.0	2500.0	0.571	2500.0
4106.923	3434.0	1.943	5619.97
4706.507	3961.292	0.962	7740.502
3710.0	3710.0	1.111	3710.0
3807.473	3807.473	0.648	6500.0
4191.284	3214.737	1.164	6305.504
2977.5	2757.391	0.904	5587.5
4268.414	2571.742	1.139	5909.969
4070.312	2720.312	0.846	6068.919
4158.786	4158.786	0.755	4900.0
2285.064	1845.833	0.989	3910.533
6192.107	5055.5	0.992	8957.181
4893.333	4893.333	0.693	5431.122
4627.083	4475.0	1.016	5809.028
5256.933	3715.119	0.855	7201.029
5755.0	5717.857	0.966	9200.909
4436.537	2919.668	0.936	6078.78
3540.0	3540.0	0.988	3748.0
4445.614	4330.952	1.31	5314.958
3035.5	2168.676	1.277	4100.0
2783.889	2734.706	0.918	3948.395
4391.378	4095.047	0.975	6297.92
1630.0	1630.0	1.0	1630.0
2780.0	2780.0	0.7	2780.0
8660.0	8660.0	1.353	8660.0
3269.333	3269.333	0.863	3300.0
4110.0	4110.0	1.2	4110.0
3747.492	3747.492	0.82	4900.0
1630.0	1630.0	0.778	1630.0
5713.29	4738.538	0.925	6689.719
10420.0	10420.0	1.2	10420.0
3950.0	3950.0	0.849	4422.347
4896.229	4896.229	0.819	5947.396
3903.81	3903.81	0.918	5227.347
1050.0	1050.0	1.0	1050.0
1660.0	1660.0	0.8	1660.0
3816.667	3744.167	0.983	4414.4
3823.0	3823.0	0.892	5097.5
1230.0	1230.0	1.0	1230.0
4043.709	3511.879	0.91	6483.74
4151.364	4151.364	0.835	5272.95
7900.0	7900.0	1.211	7900.0
7280.0	7280.0	0.804	10305.296
4450.855	4111.679	0.92	5764.266
5571.599	5571.599	0.576	8900.0
4914.899	4914.899	0.846	6500.0
5536.25	4019.0	0.872	11500.0
4704.593	4704.593	0.792	6567.101
900.0	900.0	1.0	900.0
5962.832	3267.168	1.272	9718.691
1130.0	1130.0	0.6	1130.0
4812.332	4812.332	0.66	6092.111
6495.15	6495.15	0.674	8627.495
4107.727	3998.198	0.738	6772.138
5641.2	4785.25	1.16	8900.0
5190.0	5190.0	0.701	6177.15
3249.495	3249.495	0.807	6090.496
5506.74	5319.119	0.679	10911.162
5001.533	2393.644	0.966	7422.156
5155.865	-4956.589	0.994	8349.531
1490.0	1490.0	0.667	1490.0
1530.0	1530.0	1.0	1530.0
3723.28	3262.733	0.918	5701.92
2400.0	2400.0	1.25	2400.0
5830.0	5830.0	1.133	5830.0
4591.139	4591.139	0.755	6115.38
4070.179	4070.179	0.645	4650.605
2921.709	2836.04	0.723	4586.948
3857.116	3857.116	0.763	5580.166
5962.326	5023.286	1.145	8528.524
6289.015	6289.015	0.733	8544.178
5501.667	5501.667	0.933	6543.9
4387.5	3984.583	1.173	6557.27
3265.906	2574.722	1.012	5825.429
5168.497	4875.556	1.074	7992.336
6834.806	5215.707	0.795	14949.481
5052.225	2178.788	0.795	7453.711
4380.833	4065.128	1.329	4938.519
3593.032	3070.292	0.717	7042.382
3906.37	3774.846	0.782	6013.32
6854.737	6854.737	0.834	7094.727
3855.111	3855.111	0.817	4558.172
1140.0	1140.0	0.75	1140.0
3270.0	3270.0	1.0	3270.0
3653.968	3535.897	0.954	5700.0
6883.333	6883.333	0.889	7901.884
6374.103	6374.103	0.657	8565.988
5384.135	4254.83	0.838	10401.588
3017.544	3017.544	0.825	3816.066
3990.0	3990.0	0.9	3990.0
4918.4	4752.0	1.168	6588.032
5388.571	5388.571	0.696	5539.669
6933.182	6576.201	0.77	8758.182
4913.347	3860.852	0.942	8010.776
6008.75	6008.75	0.762	6500.0
1240.0	1240.0	1.0	1240.0
1530.0	1530.0	1.2	1530.0
5265.088	5192.5	0.943	7398.338
6648.077	6648.077	0.874	7475.803
3996.903	3534.0	0.962	5779.958
5717.069	5717.069	0.78	6500.0
4112.664	2174.742	0.91	6165.317
1400.0	1400.0	1.0	1400.0
1280.0	1280.0	1.0	1280.0
4608.214	4608.214	0.982	5043.827
1160.0	1160.0	0.8	1160.0
3905.912	3754.5	0.656	5248.023
3402.667	3356.41	1.113	3827.511
6149.077	5902.364	1.072	8442.485
2257.016	-7176.107	1.104	4354.344
1010.0	1010.0	1.0	1010.0
8197.5	7280.192	1.057	9817.812
4430.0	4430.0	0.818	4430.0
5315.932	2582.129	0.873	8281.6
4998.096	3831.899	0.817	7022.969
1570.0	1570.0	1.0	1570.0
1750.0	1750.0	1.0	1750.0
8969.487	7984.725	1.162	10700.0
6272.595	6272.595	0.742	9800.0
4545.977	3843.75	0.975	5607.015
4053.517	4053.517	0.699	6261.029
2783.785	2597.54	0.724	4900.0
3831.102	2176.959	0.679	7637.695
6369.5	6369.5	0.964	7145.15
2778.8	2628.869	0.738	4496.411
6093.482	4717.813	0.824	7851.403
4688.333	4453.864	0.891	6587.639
3650.0	3650.0	1.182	3650.0
7730.403	7730.403	0.754	9755.621
990.0	990.0	1.0	990.0
5153.542	4382.778	1.16	6863.767
5996.73	5996.73	0.58	10370.714
6000.0	6000.0	0.776	6853.878
7150.0	7150.0	1.059	7150.0
3898.786	3898.786	0.785	4973.404
6724.707	6388.529	0.747	9149.283
3384.111	2043.084	0.838	5700.0
7170.062	7170.062	0.87	7170.062
5737.31	5354.31	0.804	10117.683
4386.633	-3281.611	0.842	7391.058
3522.773	3522.773	0.654	4126.08
4818.157	1723.384	0.789	7996.748
4456.625	1593.164	1.123	6845.943
3369.714	2410.194	0.797	6213.567
4753.25	4626.324	1.075	7495.825
6148.108	5877.133	0.758	10449.389
6162.035	6162.035	0.635	7502.368
7192.459	7192.459	0.66	9852.001
4561.871	4407.321	0.705	8671.928
6804.266	6266.992	0.999	10150.717
3534.968	3534.968	0.61	5935.392
4394.291	1310.81	0.843	6848.332
2402.5	2402.5	0.555	2500.0
2440.657	2153.319	1.125	2860.52
4117.692	4117.692	0.763	4100.0
7127.005	5757.21	0.991	9003.412
9101.064	8632.999	0.803	12999.745
5880.0	5880.0	2.333	5880.0
1290.0	1290.0	0.833	1290.0
1490.0	1490.0	1.0	1490.0
3015.893	2768.75	0.71	4996.145
3275.49	1197.96	0.615	6329.679
4469.838	4233.179	0.997	6500.0
8166.057	8166.057	0.576	9264.52
5694.471	5426.023	0.666	9977.452
8050.953	8050.953	0.658	8865.906
1170.0	1170.0	1.0	1170.0
1370.0	1370.0	0.778	1370.0
