metric	value
BLEU	32.6204
chrF	60.0879
COMET	0.6738
LongYAAL (CU)	2874.2447
LongAL (CU)	3052.9690
LongLAAL (CU)	3173.2877
LongAP (CU)	1.1824
LongDAL (CU)	4361.3725
LongYAAL (CA)	39979.0228
LongAL (CA)	52948.1820
LongLAAL (CA)	52951.8352
LongAP (CA)	17.0732
LongDAL (CA)	54473.5131
