metric	value
BLEU	39.6828
chrF	65.4981
LongYAAL (CU)	5135.8285
LongAL (CU)	5564.7090
LongLAAL (CU)	5625.4818
LongAP (CU)	1.6561
LongDAL (CU)	6848.8115
LongYAAL (CA)	69485.1922
LongAL (CA)	112568.8238
LongLAAL (CA)	112570.2416
LongAP (CA)	42.5658
LongDAL (CA)	114702.0040
