metric	value
BLEU	39.2927
chrF	65.0854
LongYAAL (CU)	5013.8322
LongAL (CU)	5254.5673
LongLAAL (CU)	5321.2414
LongAP (CU)	1.6612
LongDAL (CU)	6543.2866
LongYAAL (CA)	53487.3905
LongAL (CA)	76462.0979
LongLAAL (CA)	76464.3504
LongAP (CA)	25.0964
LongDAL (CA)	78128.2414
