metric	value
BLEU	39.4443
chrF	65.4099
COMET	0.7835
LongYAAL (CU)	4359.4357
LongAL (CU)	4455.0533
LongLAAL (CU)	4538.2614
LongAP (CU)	1.5211
LongDAL (CU)	5810.4998
LongYAAL (CA)	78420.5497
LongAL (CA)	137962.6215
LongLAAL (CA)	137964.7961
LongAP (CA)	53.3888
LongDAL (CA)	140695.3932
