metric	value
BLEU	32.3715
chrF	60.0054
COMET	0.6811
LongYAAL (CU)	2970.8917
LongAL (CU)	3199.7061
LongLAAL (CU)	3314.9169
LongAP (CU)	1.2364
LongDAL (CU)	4549.4407
LongYAAL (CA)	37467.3484
LongAL (CA)	48016.1909
LongLAAL (CA)	48021.3544
LongAP (CA)	15.5432
LongDAL (CA)	49456.3662
