LAAL	AL	AP	DAL
1255.022	1255.022	0.486	12834.613
8949.233	8949.233	0.5	11336.769
3312.948	-3527.859	0.528	8585.811
5532.844	2197.447	0.53	9577.316
-230.141	-2331.757	0.505	6684.249
7063.765	7063.765	0.474	10486.8
139.341	-12932.917	0.536	7629.565
1879.192	-923.6	0.513	7230.53
1112.775	1112.775	0.503	10102.78
4505.774	-5192.688	0.54	9624.479
5442.492	5442.492	0.5	9049.367
23643.468	23643.468	0.482	18417.428
31290.916	31290.916	0.457	17159.082
7184.017	-4561.761	0.565	12413.337
-4484.154	-11675.365	0.506	4959.341
6746.221	-702.571	0.542	14733.461
7660.076	7660.076	0.484	7624.052
3442.06	-12898.994	0.557	23095.071
-3181.806	-3181.806	0.475	8053.541
11980.393	11980.393	0.517	14319.923
3924.547	171.388	0.525	10506.132
