LAAL	AL	AP	DAL
1931.169	1931.169	0.51	2333.674
607.386	607.386	0.625	1119.008
1478.247	1111.912	0.627	2408.65
990.0	990.0	1.0	990.0
1907.833	1515.444	0.727	2978.4
7518.698	7518.698	0.357	5388.945
2424.444	1244.0	0.79	4531.543
130.317	130.317	0.284	1000.0
1919.241	1919.241	0.532	2304.61
7480.193	7480.193	0.514	7464.069
1221.364	862.791	0.587	2860.148
1329.595	1329.595	0.394	1638.056
3777.834	3777.834	0.465	5460.454
341.359	-2301.305	0.571	3124.898
1949.922	1949.922	0.504	2507.5
180.882	-842.522	0.534	3084.348
1310.27	-1754.407	0.818	3056.413
1151.165	-1197.734	0.743	2116.871
2854.706	2854.706	0.275	2852.5
772.985	772.985	0.527	2993.687
2598.047	2598.047	0.557	3842.687
2046.961	2046.961	0.392	1547.468
609.452	609.452	0.343	1545.264
3584.767	3584.767	0.577	4458.775
294.152	133.046	0.512	2397.355
1671.337	-2449.529	0.754	3242.08
1761.039	1761.039	0.332	1710.248
878.19	544.673	0.779	1672.484
1297.231	1297.231	0.566	1587.934
2366.023	803.976	0.728	3638.22
3048.27	-516.041	0.761	5099.144
133.333	133.333	0.439	2000.0
1290.0	1290.0	1.0	1290.0
563.75	563.75	0.753	1000.0
-1249.0	-1249.0	0.385	1000.0
1216.881	1216.881	0.38	2711.2
1406.591	1406.591	0.234	2500.0
12612.133	12612.133	0.298	7941.633
5269.571	5269.571	0.348	4160.159
6045.152	6045.152	0.329	4075.648
1170.0	1170.0	0.8	1170.0
769.556	769.556	0.658	1000.0
3597.157	3597.157	0.52	4242.222
980.144	980.144	0.257	1010.992
1289.752	1289.752	0.268	2000.0
987.692	987.692	0.664	1500.0
860.539	860.539	0.314	1657.726
1101.429	516.429	0.751	1683.529
1957.881	1957.881	0.228	1167.95
3753.244	3753.244	0.378	3670.522
1041.133	943.798	0.844	1211.583
1159.329	449.057	0.758	1866.108
450.195	450.195	0.381	1176.429
1467.88	1467.88	0.245	2031.289
234.64	234.64	0.504	2147.139
4488.771	4488.771	0.514	5210.465
1624.692	1390.542	0.731	3383.55
1941.538	1941.538	0.598	3109.52
2831.775	-766.141	0.964	3545.573
2817.208	-383.6	0.769	5273.73
1528.147	1528.147	0.51	2338.568
1940.168	1940.168	0.447	2300.015
5530.421	5530.421	0.305	3085.318
130.345	-5941.552	0.89	1648.585
1418.068	1418.068	0.534	2709.679
1450.0	1450.0	1.0	1450.0
1200.0	1200.0	0.603	1500.0
2409.234	1439.104	0.699	4394.251
879.161	879.161	0.488	1500.0
274.583	274.583	0.287	1000.0
921.053	921.053	0.464	1500.0
804.115	804.115	0.472	2493.515
1029.917	1029.917	0.541	1860.0
1175.429	1175.429	0.575	3107.478
1297.991	1131.429	0.709	1904.883
432.614	432.614	0.499	2183.222
