metric	value
BLEU	38.7482
chrF	64.9255
LongYAAL (CU)	4685.6395
LongAL (CU)	4892.1991
LongLAAL (CU)	4962.8527
LongAP (CU)	1.6062
LongDAL (CU)	6130.1391
LongYAAL (CA)	53878.1530
LongAL (CA)	77691.7778
LongLAAL (CA)	77694.3876
LongAP (CA)	25.6676
LongDAL (CA)	79285.7399
