LAAL	AL	AP	DAL
2326.956	2326.956	0.491	8389.759
9681.323	9681.323	0.505	14626.097
4201.391	-1763.5	0.528	10812.875
9103.909	7992.186	0.534	20905.625
8365.231	8365.231	0.504	12899.399
5887.938	2949.558	0.525	17660.533
4097.045	-3300.054	0.532	13001.922
5696.193	5696.193	0.498	11115.036
2527.011	2527.011	0.506	10129.058
5223.894	4291.4	0.516	11369.59
6066.408	4781.481	0.52	13087.33
5587.202	4699.471	0.516	13758.152
3296.192	2036.004	0.513	11817.434
16278.097	16278.097	0.485	18574.657
-1557.682	-12207.006	0.525	8864.08
8567.819	2473.595	0.543	17023.397
10246.978	10246.978	0.494	16256.406
8179.662	8179.662	0.511	14376.916
2482.506	2482.506	0.478	9694.274
9207.983	5229.709	0.544	17587.17
8537.983	8537.983	0.507	13611.01
