LAAL	AL	AP	DAL
12799.248	12799.248	0.419	12706.753
31643.504	31643.504	0.451	17617.833
58896.451	58896.451	0.414	32821.193
7057.403	6165.311	0.527	16294.401
28590.219	28590.219	0.44	18387.546
13753.561	13753.561	0.495	18729.222
-2294.11	-6634.025	0.505	10975.482
34667.59	34667.59	0.451	31081.683
2723.131	2492.104	0.508	15204.6
5939.278	262.283	0.532	19290.599
34006.837	34006.837	0.485	35310.398
58223.898	58223.898	0.405	26796.194
66903.636	66903.636	0.357	29272.864
7127.74	7127.74	0.488	16007.515
-3043.476	-3043.476	0.477	11000.0
21049.646	21049.646	0.471	22199.238
10540.14	10540.14	0.491	14628.28
18093.414	18093.414	0.508	36575.043
16826.107	16826.107	0.415	10327.157
11044.927	9048.84	0.543	24619.026
7394.208	2515.058	0.541	19592.66
