metric	value
BLEU	30.8473
chrF	58.0141
LongYAAL (CU)	1952.6166
LongAL (CU)	1769.2658
LongLAAL (CU)	1984.6021
LongAP (CU)	1.0210
LongDAL (CU)	2795.7578
LongYAAL (CA)	67740.7045
LongAL (CA)	110990.9740
LongLAAL (CA)	110994.7991
LongAP (CA)	33.0414
LongDAL (CA)	113347.2764
