metric	value
BLEU	31.9478
chrF	59.8744
COMET	0.6730
LongYAAL (CU)	2642.0922
LongAL (CU)	2750.4526
LongLAAL (CU)	2884.8332
LongAP (CU)	1.2864
LongDAL (CU)	3995.8762
LongYAAL (CA)	44018.1375
LongAL (CA)	60234.4936
LongLAAL (CA)	60239.4817
LongAP (CA)	19.8400
LongDAL (CA)	61854.9189
