metric	value
BLEU	38.9294
chrF	65.2052
LongYAAL (CU)	3735.7898
LongAL (CU)	3718.2735
LongLAAL (CU)	3813.4666
LongAP (CU)	1.3959
LongDAL (CU)	5041.3731
LongYAAL (CA)	77491.7408
LongAL (CA)	138103.0868
LongLAAL (CA)	138105.7021
LongAP (CA)	53.9131
LongDAL (CA)	140732.1943
