LAAL	AL	AP	DAL
-1074.06	-1074.06	0.488	4764.049
9944.472	9944.472	0.498	12949.095
3435.946	-6577.549	0.538	8786.522
7992.306	7547.626	0.528	16934.996
9184.771	9184.771	0.499	12665.572
4822.272	4822.272	0.512	22413.435
3522.196	-7232.426	0.54	9460.654
5203.261	5203.261	0.493	9242.555
2657.567	1991.361	0.51	8533.518
6534.265	212.619	0.536	16311.099
4949.481	3664.554	0.517	11386.361
3859.771	2084.289	0.514	8968.518
2923.1	42.533	0.516	8214.631
9905.133	9905.133	0.491	16653.215
-1731.135	-12875.893	0.525	8096.217
7500.91	277.886	0.544	14767.849
8465.744	8465.744	0.503	13494.354
7386.725	7386.725	0.511	13801.746
642.461	642.461	0.478	7204.274
7312.673	4600.318	0.533	14854.789
8026.917	8026.917	0.507	15491.962
