metric	value
BLEU	27.4400
chrF	54.9842
COMET	0.6179
LongYAAL (CU)	3407.0374
LongAL (CU)	3143.1997
LongLAAL (CU)	3267.0950
LongAP (CU)	1.1934
LongDAL (CU)	4544.9922
LongYAAL (CA)	49297.7851
LongAL (CA)	67371.7826
LongLAAL (CA)	67375.9525
LongAP (CA)	21.5822
LongDAL (CA)	69326.3394
