metric	value
BLEU	39.4701
chrF	65.2569
LongYAAL (CU)	4989.6540
LongAL (CU)	5243.7668
LongLAAL (CU)	5310.5395
LongAP (CU)	1.6665
LongDAL (CU)	6530.0290
LongYAAL (CA)	53318.0585
LongAL (CA)	76328.4391
LongLAAL (CA)	76330.6891
LongAP (CA)	25.2074
LongDAL (CA)	77992.6195
