LAAL	AL	AP	DAL
2380.0	2380.0	1.0	2380.0
2340.0	2340.0	2.5	2340.0
2227.54	2114.489	0.826	3000.0
1930.0	1930.0	1.0	1930.0
2022.857	1544.386	0.712	3504.444
2079.604	1840.896	0.557	5593.524
1480.0	1480.0	1.0	1480.0
1155.064	845.833	0.866	2750.0
2461.238	2461.238	0.609	3630.962
2398.718	2398.718	0.831	3000.0
2488.926	1880.09	0.673	4787.682
4429.495	3018.467	0.692	7035.044
2714.286	2520.833	1.53	3000.0
3269.02	3269.02	0.583	3657.673
930.0	930.0	1.25	930.0
-53.181	-5078.466	0.666	3174.66
3098.167	2211.5	1.029	4806.508
1260.0	1260.0	1.0	1260.0
5338.444	2025.391	0.731	7033.633
2080.0	2080.0	1.0	2080.0
1340.0	1340.0	1.0	1340.0
4082.065	3749.771	0.737	5737.414
1400.0	1400.0	1.2	1400.0
3349.143	3349.143	0.864	4051.939
3035.556	2877.778	0.988	3772.346
3572.46	3572.46	0.555	5743.781
4363.769	3981.333	0.844	6862.426
2880.67	675.614	0.841	4096.394
4353.889	4353.889	0.657	5912.3
1290.0	1290.0	1.25	1290.0
1580.0	1580.0	1.5	1580.0
2426.339	2426.339	0.784	3000.0
2013.542	2013.542	0.715	3785.33
1090.0	1090.0	0.714	1090.0
3116.484	412.884	0.971	4990.856
3916.431	3765.995	0.79	6000.0
9735.209	7289.061	1.373	12515.634
3275.357	3151.948	0.997	4500.0
2401.176	1953.176	0.896	3541.333
2837.143	2837.143	0.799	3061.875
2542.143	2542.143	0.76	3189.669
1110.0	1110.0	1.0	1110.0
890.0	890.0	0.714	890.0
6264.662	6264.662	0.84	9742.423
3586.94	3586.94	0.666	5188.697
2627.71	2234.357	0.768	4553.195
2500.0	2500.0	0.857	2500.0
2864.308	2864.308	0.812	3505.44
2162.605	1997.821	0.669	3505.723
2559.167	2559.167	0.936	3000.0
1304.932	1304.932	0.541	3288.929
2576.204	1237.277	1.033	4777.056
1286.087	913.043	0.659	2723.6
2451.239	29.903	1.057	4500.0
2141.315	488.71	0.771	3428.994
2053.75	2053.75	0.59	3000.0
1669.683	1224.747	0.928	3000.0
2674.264	-1762.222	1.055	4206.903
4296.296	4296.296	0.672	6457.908
3761.111	3650.505	0.961	4593.229
3763.175	3610.457	0.657	5867.576
2398.733	1657.857	0.804	4720.704
2238.552	1388.186	0.707	3969.33
2857.5	2857.5	0.948	3192.0
2615.263	2099.286	1.118	3170.36
3432.089	2236.471	1.541	4243.853
1717.521	1717.521	0.726	3000.0
3444.116	3444.116	0.809	4358.454
1630.0	1630.0	1.2	1630.0
2780.0	2780.0	1.0	2780.0
3057.333	2378.118	0.959	5750.0
3470.0	3470.0	0.6	3470.0
1488.214	1282.714	0.928	2250.0
2698.696	2698.696	0.782	4545.18
1630.0	1630.0	0.889	1630.0
2037.002	-1177.249	0.883	3417.41
1719.221	282.524	0.963	3222.975
3087.98	2735.758	1.028	4500.0
3182.75	3182.75	0.675	4459.282
1980.0	1980.0	0.598	2476.25
1050.0	1050.0	1.25	1050.0
1660.0	1660.0	0.8	1660.0
1802.5	1802.5	0.703	3171.657
1843.75	1843.75	0.699	3000.0
1230.0	1230.0	1.0	1230.0
1652.115	379.794	0.876	3438.947
3189.643	3025.0	0.812	4045.17
2547.953	2547.953	0.674	3978.893
2189.773	1673.5	0.71	5133.554
3020.333	2786.679	0.792	4005.233
2594.31	2594.31	0.552	5901.818
4059.591	4059.591	0.73	4915.882
1878.438	648.771	0.652	3455.735
1590.852	1590.852	0.517	3000.0
