LAAL	AL	AP	DAL
2955.931	621.242	0.671	6265.769
5625.152	5586.333	1.056	7472.025
2541.864	2410.674	0.719	4571.7
3681.818	3681.818	0.499	3679.363
2649.508	2649.508	0.682	4923.958
3650.0	3650.0	0.909	3650.0
2317.927	1992.297	0.686	5000.0
990.0	990.0	1.0	990.0
1605.518	874.359	0.859	3663.327
3138.782	3138.782	0.545	5351.44
3530.921	2958.058	0.819	4619.325
1949.548	1949.548	0.655	3750.0
3393.955	3393.955	0.735	4646.064
4400.761	3959.116	0.669	6312.111
4307.966	3373.866	0.862	6593.445
3445.425	3445.425	0.81	4547.015
4797.058	4285.85	0.718	7233.036
3628.827	-5516.459	0.852	7101.924
2376.488	2376.488	0.62	3766.376
2100.103	-1326.075	0.726	5783.948
3767.068	385.457	1.15	6017.897
4242.993	4050.074	0.754	5649.756
3567.446	1224.188	1.285	6198.802
4963.041	4464.572	0.733	6821.775
3121.927	3121.927	0.56	3966.735
5397.324	5397.324	0.613	8522.381
2338.068	2235.034	0.656	6864.105
3374.487	2734.876	0.818	4353.018
2656.026	2656.026	0.578	7110.192
5534.102	3632.485	0.834	7230.874
3989.286	3989.286	0.802	4153.599
4310.062	4310.062	1.333	4310.062
4480.0	4480.0	0.846	4480.0
3630.642	2184.494	0.972	7263.991
4059.666	2997.248	0.684	5992.289
1237.143	257.143	0.968	2750.0
1290.0	1290.0	1.0	1290.0
1490.0	1490.0	1.0	1490.0
1231.203	934.632	0.592	4198.163
697.367	-2635.741	0.58	3783.652
3905.678	3487.765	1.01	5329.924
4756.507	4756.507	0.556	7767.931
4015.625	2398.625	0.669	8638.03
5491.0	5491.0	0.623	6179.155
1170.0	1170.0	0.8	1170.0
1370.0	1370.0	0.778	1370.0
2331.36	1274.029	0.786	4415.866
2012.368	2012.368	0.788	3750.0
3567.333	3367.681	0.901	5355.12
3008.846	3008.846	0.934	3750.0
3396.639	3396.639	0.619	5388.82
2645.114	2326.364	0.894	4269.141
2355.841	2355.841	0.463	2626.275
2959.044	2959.044	0.388	3767.347
2920.062	2920.062	1.111	2920.062
2336.151	1835.36	0.938	3515.907
2358.49	2211.939	0.698	5124.81
1554.841	1554.841	0.473	3750.0
2646.136	2646.136	0.634	4916.539
3768.909	3768.909	0.614	5028.689
5191.875	5191.875	0.79	6432.9
3366.629	2966.738	0.794	6000.319
3207.405	1480.405	0.824	4707.274
5554.553	3133.253	0.857	8732.084
3749.993	2894.355	0.837	5484.658
2494.153	2494.153	0.565	3593.448
2507.709	2507.709	0.532	5571.237
626.955	-1879.75	0.715	3250.0
2098.168	497.2	0.807	3750.0
1450.0	1450.0	1.0	1450.0
1980.0	1980.0	0.7	1980.0
5032.981	4550.714	0.807	8356.875
2619.231	2619.231	0.748	3750.0
2736.912	2593.75	0.845	3750.0
4302.339	4302.339	0.971	5350.554
2126.872	2126.872	0.586	5089.733
6334.375	6334.375	0.986	6845.703
3469.836	3007.982	0.785	5750.0
4140.0	4140.0	0.881	5054.082
3362.887	2050.499	0.722	6243.69
5304.0	4848.696	0.909	7034.416
4728.127	3122.759	0.962	7500.0
3684.472	3684.472	0.819	5219.175
2979.861	2979.861	0.809	4387.654
3166.75	2964.167	0.946	4006.875
3096.026	2329.657	0.855	5475.253
3070.395	2705.957	0.625	6682.092
2912.588	2665.033	0.857	5464.088
5865.873	5865.873	0.455	6949.152
2311.307	1715.47	0.973	4071.384
3058.783	2725.598	0.654	5123.312
2220.133	2220.133	0.582	3000.0
3882.0	3882.0	0.793	4422.145
3537.5	3537.5	0.673	5750.0
6121.815	6121.815	0.721	8690.62
2411.164	1811.706	0.677	3986.655
2600.773	266.104	0.635	7010.335
2619.046	970.185	0.617	7463.243
4528.681	4063.276	0.761	8027.644
2511.25	2511.25	0.635	3500.0
1860.0	1860.0	0.8	1860.0
2258.095	1698.095	0.94	3802.5
4181.435	4046.338	0.638	6543.146
3923.81	3923.81	0.845	5750.0
1270.0	1270.0	1.0	1270.0
5090.0	5090.0	0.8	5090.0
8039.601	8039.601	0.449	6794.577
4383.497	3726.894	0.647	8044.691
8315.809	-89781.62	0.558	39133.195
