metric	value
BLEU	39.0867
chrF	65.2107
LongYAAL (CU)	4260.6183
LongAL (CU)	4346.8061
LongLAAL (CU)	4426.3358
LongAP (CU)	1.4557
LongDAL (CU)	5681.9956
LongYAAL (CA)	64297.4881
LongAL (CA)	100753.6525
LongLAAL (CA)	100756.4315
LongAP (CA)	37.6982
LongDAL (CA)	102800.7196
