LAAL	AL	AP	DAL
2380.0	2380.0	0.778	2380.0
2340.0	2340.0	1.0	2340.0
4620.588	4564.062	1.024	5400.0
1930.0	1930.0	1.0	1930.0
2654.716	2050.23	0.802	4122.211
5544.569	5544.569	0.578	8458.322
1480.0	1480.0	1.0	1480.0
4020.0	4020.0	1.091	4020.0
3915.074	3915.074	0.618	4300.0
3950.0	3950.0	0.538	3950.0
2821.846	2275.455	0.697	5095.117
6213.915	-871.34	1.013	12323.807
2387.5	2220.833	1.378	2600.0
3642.917	3642.917	0.786	4771.285
930.0	930.0	1.0	930.0
3333.102	-1599.885	0.816	9489.072
2749.167	2749.167	0.638	3900.0
1260.0	1260.0	1.0	1260.0
7567.651	6559.32	0.692	11336.225
2080.0	2080.0	0.8	2080.0
1340.0	1340.0	0.833	1340.0
17930.0	17930.0	0.2	17930.0
1400.0	1400.0	1.2	1400.0
3666.667	3666.667	0.885	4400.0
5680.0	5680.0	0.812	5680.0
6574.837	6238.039	0.723	11072.641
7622.667	7361.0	1.031	9400.0
5762.249	5125.016	0.929	8908.09
5822.353	5822.353	0.728	8600.0
1290.0	1290.0	1.0	1290.0
1580.0	1580.0	1.0	1580.0
1923.75	1923.75	0.662	2144.444
4271.875	4271.875	0.737	5654.875
1090.0	1090.0	0.571	1090.0
5962.621	3471.91	1.196	8247.366
4283.086	3890.3	0.854	5540.278
8593.623	5989.055	1.253	12462.64
3875.25	3542.045	1.741	4508.175
3522.222	3216.222	0.92	4585.714
4110.0	4110.0	1.071	4110.0
5520.0	5520.0	0.833	5520.0
1110.0	1110.0	0.833	1110.0
890.0	890.0	0.571	890.0
4635.448	4635.448	0.787	7957.449
8440.063	8440.063	0.697	10186.632
4690.181	3887.949	0.988	10100.0
2500.0	2500.0	0.571	2500.0
4249.385	3654.5	2.327	6112.577
4204.151	4013.0	0.844	7580.271
3710.0	3710.0	1.222	3710.0
8132.061	7804.123	0.867	11086.059
4083.542	3753.882	1.104	5551.788
2947.5	2727.391	0.902	5287.5
5763.569	4508.061	1.356	7700.0
4103.226	2796.774	0.845	7010.811
4407.083	4407.083	0.767	5000.0
2118.397	1679.167	0.957	3700.0
7329.701	5141.034	1.232	13123.1
4586.667	4586.667	0.68	5810.459
2470.0	2370.455	0.983	5112.0
5612.215	4530.692	0.82	7526.632
8447.619	8447.619	0.977	10662.132
4434.244	3362.869	0.864	6645.329
2670.0	2670.0	0.931	3000.0
4427.778	4330.952	1.239	5275.309
2902.923	2027.765	1.302	3640.947
2095.765	2095.765	0.725	3770.756
5407.235	4986.672	1.103	7800.0
1630.0	1630.0	1.0	1630.0
2780.0	2780.0	0.7	2780.0
3842.797	3148.145	1.077	5252.851
3470.0	3470.0	1.0	3470.0
4110.0	4110.0	1.2	4110.0
4024.415	4024.415	0.751	5800.0
1630.0	1630.0	0.778	1630.0
7263.142	6134.482	1.01	10894.755
10420.0	10420.0	0.933	10420.0
4582.667	4582.667	0.885	5200.0
5584.667	5584.667	0.878	7509.062
5477.619	5477.619	0.977	5693.061
1050.0	1050.0	1.0	1050.0
1660.0	1660.0	0.8	1660.0
4260.833	4260.833	0.948	5200.0
5193.75	5193.75	0.906	6546.844
1230.0	1230.0	1.0	1230.0
4498.817	4180.655	0.908	6035.754
5734.783	5374.0	1.074	7000.0
5482.237	5482.237	0.843	6800.0
6538.754	6538.754	0.812	11100.0
3811.425	3615.06	0.913	5732.081
6986.796	6715.181	0.71	14109.6
5408.045	5408.045	0.897	8500.0
5091.267	3305.195	0.876	9400.0
3232.322	2668.174	0.857	5446.622
900.0	900.0	1.0	900.0
6931.364	5508.942	1.182	8900.146
1130.0	1130.0	0.6	1130.0
6618.79	6618.79	0.758	11353.909
7766.044	7605.833	0.912	11180.517
4727.782	4727.782	0.59	5472.652
5027.708	4482.25	1.039	6286.875
8015.417	8015.417	0.897	10081.364
5827.273	5827.273	0.816	7700.0
6529.398	4840.945	0.8	11174.353
4057.533	1449.644	0.911	6375.5
6146.026	1304.739	0.935	12002.034
1490.0	1490.0	0.667	1490.0
1530.0	1530.0	1.0	1530.0
6385.714	6050.932	1.207	8420.0
2400.0	2400.0	1.25	2400.0
5830.0	5830.0	0.467	5830.0
4714.052	4714.052	0.796	6632.693
3938.279	3938.279	0.549	4757.5
3044.643	2769.756	0.73	4771.957
6804.323	6804.323	0.906	8605.85
5218.174	1660.458	1.594	9706.99
4901.824	4901.824	0.697	5976.691
6280.909	6185.0	1.057	7000.0
6383.542	6354.762	1.112	9026.788
3665.906	2974.722	1.066	7300.0
5432.557	4517.115	1.061	8703.737
12914.47	12914.47	0.614	17801.22
5731.924	2514.368	0.879	8146.616
5910.0	5910.0	1.231	5910.0
4562.049	3380.839	0.83	9600.0
4525.268	3574.066	0.953	7338.74
7610.0	7610.0	0.842	7610.0
4498.599	4299.556	1.044	5600.0
1140.0	1140.0	0.75	1140.0
2385.152	2385.152	0.976	3100.0
6730.0	6730.0	1.0	6730.0
8470.0	8470.0	0.905	8470.0
4423.0	4423.0	0.628	5955.544
4309.602	3271.426	0.778	7341.38
5610.0	5581.579	1.022	6072.0
3990.0	3990.0	0.9	3990.0
5013.596	4626.286	1.347	6285.279
7605.556	7464.286	1.266	7887.654
7078.636	6721.655	0.775	9876.0
3649.286	2756.544	0.82	5194.167
8407.083	8407.083	0.828	8500.0
1240.0	1240.0	1.0	1240.0
1530.0	1530.0	1.2	1530.0
4281.158	4150.5	0.871	5339.668
6948.077	6948.077	0.877	7501.89
3992.169	2496.875	1.099	6833.997
6860.0	6860.0	0.759	6860.0
6375.935	3607.257	1.169	9942.526
1400.0	1400.0	1.2	1400.0
1280.0	1280.0	1.0	1280.0
4658.214	4658.214	0.983	5050.969
1160.0	1160.0	0.6	1160.0
5123.474	4076.579	0.765	9000.0
4510.0	4510.0	1.385	4510.0
5565.379	4692.288	1.057	8525.6
9249.575	4654.248	1.251	17811.473
1010.0	1010.0	1.0	1010.0
15191.765	14961.538	1.298	15600.0
4430.0	4430.0	1.0	4430.0
5866.875	3880.491	0.855	9747.395
6019.849	4359.655	1.034	8879.294
1570.0	1570.0	1.0	1570.0
1750.0	1750.0	1.0	1750.0
6434.163	5297.899	1.013	7806.464
6294.429	6294.429	0.797	10231.531
6370.28	6185.985	0.967	7526.183
5808.632	5250.0	0.847	8800.0
4591.858	4475.455	0.849	6502.495
5154.954	2556.984	0.755	8293.375
3072.5	3072.5	0.795	5352.632
2370.203	2370.203	0.703	3981.201
5878.125	4787.689	0.796	10500.0
8876.667	8876.667	0.897	10341.02
3650.0	3650.0	1.182	3650.0
6455.452	6455.452	0.788	9600.0
990.0	990.0	1.0	990.0
4181.458	2990.278	1.102	6229.236
7139.193	4713.068	0.821	13085.172
7488.159	6985.128	1.05	11771.129
7150.0	7150.0	1.0	7150.0
3288.614	3032.166	0.794	4241.512
6486.546	6255.141	0.729	11400.0
4258.773	3045.741	0.917	7800.0
3191.258	3191.258	0.705	4700.0
5754.794	4751.698	0.803	9304.807
5581.878	-646.623	0.836	9714.166
2515.536	2515.536	0.695	4634.595
4571.332	2860.899	0.799	9571.041
4732.474	749.659	1.294	7468.156
3394.745	-2074.419	1.235	6780.01
4086.618	3497.974	1.141	5641.777
6853.371	6582.396	0.785	10041.966
5605.455	5605.455	0.548	7900.0
8520.439	6494.941	0.974	12129.049
6368.391	6368.391	0.624	8022.4
4313.81	3828.397	0.836	5999.277
4747.022	3325.572	0.748	10171.403
5516.817	3816.801	0.819	7212.785
3414.286	3414.286	0.837	4104.815
2633.975	2544.182	1.252	3574.892
4480.0	4480.0	0.769	4480.0
10826.25	9978.281	1.143	12633.012
10621.068	8673.072	0.944	14787.765
5880.0	5880.0	1.333	5880.0
1290.0	1290.0	0.833	1290.0
1490.0	1490.0	1.0	1490.0
3836.444	3836.444	0.765	7262.4
6259.409	5172.912	0.701	14153.395
4372.03	4117.167	0.998	6100.0
7283.533	7283.533	0.62	9164.109
6440.119	5028.452	0.733	10162.727
5971.473	5501.726	0.731	7933.846
1170.0	1170.0	1.0	1170.0
1370.0	1370.0	0.556	1370.0
