LAAL	AL	AP	DAL
17095.98	17095.98	0.417	7838.097
18869.034	18869.034	0.465	9263.952
7516.164	7516.164	0.474	7703.634
12256.541	12256.541	0.525	16474.342
12495.618	12495.618	0.451	6358.19
13397.226	13397.226	0.486	10226.958
10658.084	10658.084	0.46	6570.362
8721.537	8721.537	0.483	9450.791
10671.593	10671.593	0.468	9604.949
21904.241	21904.241	0.481	12848.417
12584.093	12584.093	0.465	9887.569
20268.915	20268.915	0.467	10466.004
21783.23	21783.23	0.461	10862.426
12425.078	12425.078	0.448	6000.0
475.058	475.058	0.472	6000.0
21731.452	1453.613	0.631	32604.483
22625.243	22625.243	0.448	10742.097
18740.805	13838.824	0.569	33939.051
8610.789	8610.789	0.445	6138.159
23725.086	23725.086	0.49	16990.723
6282.157	6282.157	0.501	9400.111
