LAAL	AL	AP	DAL
29608.429	29608.429	0.405	13694.738
33486.926	33486.926	0.412	12000.0
35057.209	35057.209	0.38	16492.853
32829.73	32829.73	0.488	24908.032
28459.602	28459.602	0.383	12048.369
26784.353	26784.353	0.456	21970.253
33011.337	33011.337	0.453	22575.304
49463.994	49463.994	0.357	14278.835
31566.521	31566.521	0.441	16414.083
32891.945	32891.945	0.447	15741.33
44396.522	44396.522	0.382	22422.324
37970.258	37970.258	0.428	14954.335
31156.653	31156.653	0.424	12138.785
32398.97	32398.97	0.397	15243.624
23017.909	23017.909	0.451	17549.119
26433.253	26433.253	0.462	16553.183
32229.514	32229.514	0.44	20026.542
18772.239	18772.239	0.476	22974.671
40593.115	40593.115	0.38	14323.412
34700.774	34700.774	0.477	24222.625
23477.318	23477.318	0.486	20065.83
