metric	value
BLEU	27.1936
chrF	54.1276
COMET	0.5849
LongYAAL (CU)	2568.2926
LongAL (CU)	2325.0520
LongLAAL (CU)	2466.4429
LongAP (CU)	1.0500
LongDAL (CU)	3422.2192
LongYAAL (CA)	62240.3745
LongAL (CA)	95630.5747
LongLAAL (CA)	95633.7788
LongAP (CA)	31.2135
LongDAL (CA)	97782.6118
