LAAL	AL	AP	DAL
16320.171	16320.171	0.443	7389.805
16786.239	16786.239	0.484	12652.307
12994.803	12994.803	0.469	6882.834
11591.36	11591.36	0.517	15106.892
15264.387	15264.387	0.473	11668.194
14486.36	14486.36	0.47	9184.377
9446.613	9446.613	0.489	9745.208
24575.226	24575.226	0.446	14372.69
12417.974	12417.974	0.481	9493.654
28319.309	28319.309	0.432	12214.664
24410.793	24410.793	0.467	13113.468
18861.016	18861.016	0.484	12826.932
27294.599	27294.599	0.459	13809.108
12038.24	12038.24	0.472	11239.843
-487.352	-487.352	0.479	6138.329
23019.568	6902.808	0.621	34575.729
22812.628	22812.628	0.46	13479.51
24160.88	24160.88	0.493	19620.906
11904.322	11904.322	0.442	5672.045
17715.908	17715.908	0.491	14292.375
12618.105	12618.105	0.498	13860.22
