metric	value
BLEU	27.9558
chrF	55.0387
LongYAAL (CU)	3839.6751
LongAL (CU)	3651.9606
LongLAAL (CU)	3719.2507
LongAP (CU)	1.5370
LongDAL (CU)	5142.8957
LongYAAL (CA)	40493.1677
LongAL (CA)	52097.2252
LongLAAL (CA)	52100.1795
LongAP (CA)	18.1560
LongDAL (CA)	53834.9465
