LAAL	AL	AP	DAL
1623.333	1623.333	0.711	1900.0
2340.0	2340.0	1.0	2340.0
4600.0	4535.938	1.083	5221.759
1930.0	1930.0	1.0	1930.0
1509.911	1087.73	0.677	2471.429
6350.532	6149.123	0.665	9751.12
1480.0	1480.0	1.4	1480.0
4020.0	4020.0	1.091	4020.0
4122.348	4122.348	0.771	5700.0
2898.718	2898.718	0.889	3600.0
4138.886	3732.839	0.737	6553.856
4467.997	-467.615	0.844	7227.407
3250.0	3250.0	1.0	3250.0
3120.083	3120.083	0.738	4367.788
930.0	930.0	1.0	930.0
1485.579	-3335.666	0.789	4816.516
4353.333	4353.333	0.867	6765.156
1260.0	1260.0	1.0	1260.0
9360.499	8586.972	0.72	15813.354
2080.0	2080.0	0.8	2080.0
1340.0	1340.0	0.833	1340.0
6397.597	6397.597	0.713	7869.189
1400.0	1400.0	0.6	1400.0
4146.0	4146.0	0.775	4500.0
2860.714	2860.714	0.74	3183.265
9336.04	9336.04	0.679	13152.092
4660.0	4174.048	0.935	6213.878
7799.539	6476.134	1.021	13139.796
5632.612	5632.612	0.692	6857.357
1290.0	1290.0	1.0	1290.0
1580.0	1580.0	1.0	1580.0
2473.438	2473.438	0.724	2889.236
3627.917	3627.917	0.662	4900.0
1090.0	1090.0	0.571	1090.0
4859.708	1726.156	1.174	7064.058
4965.741	4414.144	0.929	7030.88
5654.193	3196.341	1.056	7686.55
5430.0	5430.0	1.273	5430.0
4811.111	4599.556	0.999	7400.0
3476.429	3476.429	0.911	3600.0
3262.778	3262.778	0.834	5200.0
1110.0	1110.0	0.833	1110.0
890.0	890.0	0.571	890.0
5105.402	5105.402	0.784	7934.625
7053.103	7053.103	0.82	11115.888
3931.786	3931.786	0.755	6700.0
2500.0	2500.0	0.571	2500.0
4361.538	3464.308	1.935	5294.822
3540.265	2964.417	0.842	6235.243
3448.889	3448.889	0.997	3600.0
5807.989	5807.989	0.728	9431.173
3675.495	2698.947	1.104	6002.144
2197.5	1977.391	0.869	5172.115
4457.887	2126.229	1.277	7900.0
3545.534	1962.512	0.836	6042.001
3448.75	3448.75	0.711	4100.0
4143.654	4023.864	1.124	4500.0
8635.333	8010.0	1.184	10980.489
4106.667	4106.667	0.66	5196.173
2076.481	1492.727	0.897	2845.816
4687.905	3399.281	0.78	6614.811
5097.381	4654.762	0.954	6826.528
5859.774	4134.298	1.049	8300.0
2281.111	2281.111	0.898	2720.667
3744.444	3357.143	1.18	4359.259
2883.803	1821.111	1.314	4001.953
2015.765	2015.765	0.721	3744.089
8730.0	8730.0	1.172	8730.0
1630.0	1630.0	1.0	1630.0
2248.667	2248.667	0.673	2400.0
5288.951	4594.299	1.205	7093.388
3169.333	3169.333	0.993	3229.422
4110.0	4110.0	1.2	4110.0
2771.981	2771.981	0.663	3492.971
1630.0	1630.0	0.778	1630.0
5840.641	4780.385	0.924	10404.178
6355.49	5906.0	1.08	8500.0
3702.667	3702.667	0.839	4406.122
5526.5	5526.5	0.865	7255.729
4580.0	4580.0	0.893	5811.716
1050.0	1050.0	1.0	1050.0
1660.0	1660.0	0.8	1660.0
4260.833	4260.833	0.948	5200.0
3439.583	3439.583	0.864	4792.5
1230.0	1230.0	1.0	1230.0
4560.261	4185.952	0.915	6268.803
5151.159	5000.833	1.05	6775.917
3772.829	3456.037	0.979	5900.0
6824.818	6824.818	0.82	10753.608
3023.636	2436.705	0.873	4410.588
5792.329	4865.128	0.687	11476.147
4079.474	4079.474	0.843	5537.562
4718.854	2932.782	0.858	9500.0
3630.301	2876.37	0.927	6478.314
900.0	900.0	1.0	900.0
5489.149	3640.0	1.108	8135.573
1130.0	1130.0	0.6	1130.0
3795.656	2755.0	0.733	7149.906
6597.839	6597.839	0.697	9114.1
3760.778	3584.578	0.696	5341.147
5318.317	4446.875	1.153	8100.0
10780.0	10780.0	0.917	10780.0
4975.0	4730.682	1.012	7369.097
2739.032	2058.647	0.651	8637.114
3709.367	1284.599	0.876	5805.895
6203.54	-3454.007	1.021	13972.404
1490.0	1490.0	0.667	1490.0
1530.0	1530.0	1.0	1530.0
2987.566	2527.019	0.877	5316.735
2400.0	2400.0	1.25	2400.0
3866.857	3866.857	0.736	4900.0
3614.472	3614.472	0.696	5372.359
2899.076	2899.076	0.531	4700.0
4113.347	3421.0	0.86	7265.889
3093.088	2821.719	0.762	4717.128
4104.107	3276.857	0.964	6222.894
5176.511	5176.511	0.648	7138.05
4904.762	4744.0	1.018	8100.0
6355.926	6304.762	1.255	9092.894
6190.476	5700.0	1.28	7700.0
4683.039	3840.833	0.993	6495.433
4421.82	3639.121	0.671	7963.589
3996.165	1122.727	0.76	6415.273
