LAAL	AL	AP	DAL
12137.999	12137.999	0.468	14099.53
13752.578	13752.578	0.492	14111.903
10882.412	10882.412	0.527	22352.853
7375.47	2253.322	0.543	13830.222
4670.696	4670.696	0.468	13035.476
10751.316	10751.316	0.476	18149.205
631.766	-6128.502	0.52	9493.506
1721.554	212.372	0.509	10190.317
1783.556	1783.556	0.503	14138.835
4762.464	-3043.517	0.535	13544.2
8088.98	8088.98	0.507	16280.295
35296.012	35296.012	0.453	24316.969
63741.151	63741.151	0.376	28558.299
2163.48	-927.29	0.517	15473.518
-5630.171	-9845.524	0.495	6878.22
15067.051	15067.051	0.494	20325.713
7741.27	7741.27	0.49	11711.988
17466.596	17466.596	0.442	20548.565
696.878	696.878	0.481	8750.0
8635.783	7365.554	0.532	16217.295
7514.291	3761.132	0.538	19023.547
