LAAL	AL	AP	DAL
1773.333	1773.333	0.739	2100.0
2340.0	2340.0	1.0	2340.0
2945.833	2945.833	0.848	3600.0
1930.0	1930.0	1.0	1930.0
2230.216	1424.236	0.775	3722.417
6276.602	6276.602	0.588	8815.569
1480.0	1480.0	1.4	1480.0
4020.0	4020.0	1.091	4020.0
4289.015	4289.015	0.784	5700.0
3148.718	3148.718	0.918	3900.0
3281.743	2875.696	0.703	5502.496
5308.229	-983.03	0.981	11500.0
3250.0	3250.0	1.0	3250.0
3546.75	3546.75	0.768	4350.454
930.0	930.0	1.0	930.0
2104.123	-3356.591	0.808	4242.657
8330.0	8330.0	1.0	8330.0
1260.0	1260.0	1.0	1260.0
7358.23	5874.972	0.712	10202.302
2080.0	2080.0	0.8	2080.0
1340.0	1340.0	0.833	1340.0
7073.771	7073.771	0.784	9175.822
1400.0	1400.0	1.0	1400.0
5140.0	5140.0	0.933	5140.0
3003.571	3003.571	0.751	3300.0
5741.945	5601.795	0.666	10449.444
4927.222	4927.222	0.81	6700.972
8062.039	6738.634	1.034	13425.51
5864.612	5864.612	0.703	7112.196
1290.0	1290.0	1.0	1290.0
1580.0	1580.0	1.0	1580.0
2082.812	2082.812	0.684	2353.125
4736.111	4736.111	0.9	5429.167
1090.0	1090.0	0.571	1090.0
4805.491	2037.519	1.114	7227.896
4443.859	4174.3	0.841	6546.055
7466.63	5237.805	1.121	12039.736
5430.0	5430.0	1.273	5430.0
3000.0	2676.0	0.876	5400.0
3276.429	3276.429	0.758	3351.322
3168.333	3168.333	0.821	5100.0
1110.0	1110.0	0.833	1110.0
890.0	890.0	0.571	890.0
5155.402	5155.402	0.786	8007.039
7361.886	7361.886	0.64	9382.54
5636.526	5379.812	0.916	6900.0
2500.0	2500.0	0.571	2500.0
4338.462	3441.231	1.933	5289.053
3634.015	3058.167	0.851	6350.395
3710.0	3710.0	0.889	3710.0
6005.286	6005.286	0.737	9643.078
4827.25	4167.93	1.148	6803.906
2100.0	1947.391	0.824	5073.6
4577.849	3323.788	1.15	5832.362
3839.062	2489.062	0.832	5801.351
3508.75	3508.75	0.717	4200.0
3693.654	3573.864	1.095	4278.698
9257.556	8632.222	1.2	11167.156
5260.0	5260.0	0.708	6231.378
2583.333	1742.727	1.064	3400.556
5097.265	3647.494	0.82	7135.348
5197.381	4754.762	0.96	6930.694
5498.793	3923.584	1.002	8100.0
2490.0	2490.0	0.916	2864.0
3122.556	2778.571	1.192	3897.784
3117.137	2054.444	1.354	4267.337
2175.765	2175.765	0.729	3797.422
7750.968	7702.414	1.062	8400.0
1630.0	1630.0	1.0	1630.0
2248.667	2248.667	0.673	2400.0
4822.745	3634.118	1.302	7238.472
3119.333	3119.333	0.858	3187.456
4110.0	4110.0	1.2	4110.0
2821.981	2821.981	0.668	3578.685
1630.0	1630.0	0.778	1630.0
5828.0	4852.564	0.91	8213.244
5828.235	5501.333	1.01	7800.0
6340.0	6340.0	1.067	6340.0
5714.0	5714.0	0.877	7500.0
4755.0	4755.0	0.908	6011.716
1050.0	1050.0	1.0	1050.0
1660.0	1660.0	0.8	1660.0
4177.5	4177.5	0.942	5100.0
3464.583	3464.583	0.867	4726.406
1230.0	1230.0	1.0	1230.0
4636.452	4262.143	0.92	6339.771
4970.238	4849.5	0.931	6842.449
4019.888	3703.096	1.007	6061.224
4860.493	4860.493	0.71	8800.0
3263.438	2480.862	0.909	4771.194
5896.677	4969.476	0.69	11650.846
4229.474	4229.474	0.855	5742.825
3341.658	1283.167	0.813	7194.799
3134.458	2759.286	0.819	4534.958
900.0	900.0	1.0	900.0
5351.174	3359.783	1.107	8235.573
1130.0	1130.0	0.6	1130.0
4981.382	4981.382	0.71	8054.4
5747.623	5747.623	0.789	8786.22
4370.431	4189.469	0.728	6740.826
6378.173	5971.5	1.207	7146.479
3278.214	3278.214	0.667	6362.2
5143.75	4899.432	1.026	7556.597
4794.594	3541.294	0.714	9105.896
3145.533	537.644	0.858	5795.1
5258.046	-963.845	1.024	10613.119
1490.0	1490.0	0.667	1490.0
1530.0	1530.0	1.0	1530.0
4490.909	3319.17	1.073	6900.0
2400.0	2400.0	1.25	2400.0
5830.0	5830.0	1.2	5830.0
3131.042	3131.042	0.722	6069.78
6741.607	6741.607	0.673	8240.725
5088.902	4396.556	0.934	9992.42
3705.858	3456.198	0.802	5336.886
4493.062	3254.606	1.078	6086.053
4941.189	4941.189	0.667	6648.611
5301.905	5251.667	0.974	6184.58
6305.926	6254.762	1.254	9089.191
7103.238	6858.0	1.299	7800.0
5250.769	4213.269	1.073	7019.2
4544.957	2740.683	0.732	8927.433
4929.189	2178.548	0.773	7255.901
3858.947	3715.385	1.394	5078.643
3046.878	2524.138	0.69	6516.295
5639.923	4821.685	0.991	9500.0
2954.436	2954.436	0.643	5400.0
4991.591	4974.25	1.068	7074.855
1140.0	1140.0	0.75	1140.0
3270.0	3270.0	1.0	3270.0
3286.944	3286.944	0.82	4307.751
8470.0	8470.0	0.905	8470.0
6234.899	6234.899	0.574	7703.102
3648.067	2570.714	0.748	6600.0
3514.737	3514.737	0.697	4500.0
3990.0	3990.0	0.9	3990.0
4265.067	3682.667	1.094	5723.648
5330.952	5330.952	0.858	7064.497
6010.455	5653.473	0.738	8492.0
3593.228	2321.462	0.863	6231.856
6302.333	6302.333	0.776	7500.0
1240.0	1240.0	1.0	1240.0
1530.0	1530.0	1.2	1530.0
5315.088	5242.5	0.945	7414.127
6348.077	6348.077	0.871	7449.716
3347.263	2855.263	0.872	4436.911
4646.844	4646.844	0.741	6000.0
6547.411	5754.109	0.932	9125.706
1400.0	1400.0	1.0	1400.0
1280.0	1280.0	1.0	1280.0
4658.214	4658.214	0.983	5050.969
1160.0	1160.0	0.8	1160.0
4407.953	4256.541	0.672	7638.444
3002.667	2956.41	1.092	3747.511
5173.442	4269.495	1.044	7217.811
3660.096	-55.239	0.886	7053.908
1010.0	1010.0	1.0	1010.0
7193.905	6628.571	0.96	8977.022
2528.409	2528.409	0.712	2759.506
6054.182	4316.67	0.848	10508.301
5280.081	3536.677	0.882	8906.695
1570.0	1570.0	1.0	1570.0
1750.0	1750.0	1.0	1750.0
8093.654	7738.571	1.129	11733.595
7433.419	7433.419	0.775	9275.971
6810.0	6723.75	0.947	8659.2
4208.69	4208.69	0.707	5694.743
6317.764	6247.922	0.939	8313.837
3277.175	1380.689	0.673	5432.407
6502.727	6444.5	1.066	7269.711
3268.125	3174.418	0.787	4821.4
7226.746	6839.394	0.778	10134.357
7965.697	7965.697	0.895	10397.732
3650.0	3650.0	1.182	3650.0
5175.882	5063.947	0.825	6410.117
990.0	990.0	1.0	990.0
3883.75	2832.708	1.064	5854.236
8019.532	7554.543	0.74	12576.031
3661.731	3315.897	0.778	4755.625
7150.0	7150.0	1.0	7150.0
3773.091	3773.091	0.774	5400.0
5599.707	5263.529	0.719	8012.377
4573.905	3549.409	0.869	6973.633
4507.925	4507.925	0.714	5700.0
6809.929	6249.107	0.8	10565.267
4216.3	-3726.096	0.851	7468.772
2501.25	2501.25	0.587	4091.962
4105.367	1598.534	0.736	9127.388
3890.886	3066.209	1.74	11855.168
2738.472	1538.091	0.772	5700.0
4412.5	4251.324	1.125	7560.0
5279.628	4871.817	0.736	8303.68
5723.636	5723.636	0.645	7509.246
6229.921	6229.921	0.547	10094.885
4350.972	4181.27	0.707	7800.0
3800.974	3800.974	0.737	5400.0
5244.64	4141.091	0.75	12272.742
5289.08	3718.229	0.783	9800.0
2065.0	2065.0	0.526	2400.0
1996.212	1708.875	1.047	2641.948
4480.0	4480.0	0.769	4480.0
8029.082	6507.087	1.053	11685.621
8801.589	8801.589	0.742	11688.166
5880.0	5880.0	2.333	5880.0
1290.0	1290.0	0.833	1290.0
1490.0	1490.0	1.0	1490.0
7819.143	7819.143	0.923	12200.0
3292.686	1681.05	0.603	7746.135
3450.227	3140.75	0.935	5700.0
8164.348	8164.348	0.567	9749.533
8220.183	7746.591	0.735	13764.849
7150.01	7150.01	0.596	9217.427
1170.0	1170.0	1.0	1170.0
1370.0	1370.0	0.778	1370.0
4465.602	4465.602	0.685	5554.901
3460.175	3460.175	0.717	4051.2
4485.47	4168.562	1.043	5726.063
2646.635	2646.635	0.833	3320.833
3625.123	3625.123	0.704	4301.962
4515.0	4515.0	0.953	6327.857
4487.616	4487.616	0.495	6753.119
6950.0	6950.0	0.279	6950.0
2920.062	2920.062	1.111	2920.062
4328.008	4215.266	0.972	5100.0
3036.667	2751.939	0.772	6300.0
3589.735	3438.593	0.695	9013.957
8398.227	8398.227	0.875	10769.356
7158.515	7158.515	0.816	10907.191
4761.346	4761.346	0.887	6600.0
3371.852	3147.222	0.789	7200.0
6543.333	5540.278	0.982	8330.284
6619.333	2143.284	1.161	8750.578
3147.826	2373.5	0.784	4337.051
5516.086	5516.086	0.593	6563.536
4557.065	4557.065	0.523	9563.072
4561.18	0.109	1.301	6891.888
3934.931	2014.722	0.978	5881.641
1450.0	1450.0	0.833	1450.0
1980.0	1980.0	0.7	1980.0
13023.697	12571.518	1.163	14767.216
1497.692	1497.692	0.516	2700.0
3333.882	3216.75	0.897	4300.484
4080.117	4080.117	0.901	4917.284
1936.462	1936.462	0.599	4091.593
4128.125	4128.125	0.927	6600.0
3713.959	3401.091	0.808	5089.771
5420.0	5420.0	0.789	5592.708
5072.924	4584.44	0.744	7663.242
4629.583	2646.25	1.124	6758.182
8401.134	7894.187	1.046	10506.021
5073.518	5073.518	0.753	8100.0
4423.459	4353.81	0.945	5232.853
3303.0	3229.333	0.999	4836.9
4877.778	4356.647	0.978	6413.333
3635.472	3635.472	0.624	5953.513
3153.947	3153.947	0.726	5405.273
5273.593	4514.575	0.74	8614.904
8230.0	8230.0	1.538	8230.0
3526.442	3062.298	0.683	5593.403
3759.333	3759.333	0.902	5669.6
4970.556	4970.556	0.89	6798.27
4628.571	4628.571	0.781	6803.571
6430.872	6430.872	0.776	11558.665
6845.238	6845.238	0.733	7745.244
3178.539	1578.235	0.63	8747.034
4822.258	2879.938	0.697	8115.473
5405.125	2834.821	1.07	8536.8
5880.0	5880.0	1.0	5880.0
1860.0	1860.0	1.0	1860.0
2977.846	2977.846	0.783	3600.0
4610.215	4493.541	0.662	8372.529
5208.095	5208.095	0.731	5786.367
1270.0	1270.0	1.0	1270.0
2240.75	2240.75	0.853	3893.74
8116.642	8116.642	0.584	15850.525
3466.732	2366.828	0.64	8089.452
-2064.427	-131673.91	0.568	51866.019
