metric	value
BLEU	30.5930
chrF	59.3278
COMET	0.6490
LongYAAL (CU)	2127.3789
LongAL (CU)	2028.7374
LongLAAL (CU)	2212.2948
LongAP (CU)	1.0970
LongDAL (CU)	3164.8018
LongYAAL (CA)	57502.1477
LongAL (CA)	86128.1172
LongLAAL (CA)	86132.8378
LongAP (CA)	30.2686
LongDAL (CA)	88171.2339
