metric	value
BLEU	31.2554
chrF	59.5328
COMET	0.6658
LongYAAL (CU)	2447.6652
LongAL (CU)	2469.6255
LongLAAL (CU)	2612.6735
LongAP (CU)	1.1995
LongDAL (CU)	3645.9944
LongYAAL (CA)	48206.2607
LongAL (CA)	67378.6838
LongLAAL (CA)	67383.1546
LongAP (CA)	22.7046
LongDAL (CA)	69160.6656
