LAAL	AL	AP	DAL
18663.272	18663.272	0.435	17621.065
36017.94	36017.94	0.425	17533.461
93493.707	93493.707	0.388	49099.321
6674.954	6674.954	0.52	15159.65
39897.024	39897.024	0.347	15911.772
20483.633	20483.633	0.472	21546.844
45479.07	45479.07	0.422	33930.763
48239.597	48239.597	0.339	27949.983
4125.003	3893.976	0.512	18750.0
22680.496	22680.496	0.512	26415.972
45020.954	45020.954	0.364	19082.383
56221.963	56221.963	0.387	28079.749
52519.018	52519.018	0.387	26716.29
46728.295	46728.295	0.439	37422.441
6662.719	6662.719	0.442	11647.118
61218.888	61218.888	0.451	44462.247
14609.684	14609.684	0.493	22315.428
-3122.781	-3122.781	0.462	20918.433
48697.127	48697.127	0.345	18965.776
24490.575	24490.575	0.527	31416.68
7109.137	6546.178	0.525	21521.866
