metric	value
BLEU	36.3612
chrF	61.9346
LongYAAL (CU)	3698.3348
LongAL (CU)	4061.6625
LongLAAL (CU)	4143.0122
LongAP (CU)	1.6369
LongDAL (CU)	5386.2644
LongYAAL (CA)	40131.8321
LongAL (CA)	51757.2695
LongLAAL (CA)	51760.9159
LongAP (CA)	16.4119
LongDAL (CA)	53339.4474
